# >> TraceSamples_fromPartTime0toPartTime7.pl <<
# >> Running at date: 13:37:38, Thu Jan 4, 2024
# >> Running directory: /home/apascual/Nextcloud/Research/Projects/FunctionalGroups/Repositories/ReplayEcology/src
# >> Zürich, ETH, A.P-G.
# >> Input file: ../7.1_classes/metadata_Time0D-7D-4M_May2022_wJSDpart-split.csv
# >> This output file: 
Rep1.Par1	Rep1.Par2	Rep2.Par1	Rep2.Par2	Rep3.Par1	Rep3.Par2	Rep4.Par1	Rep4.Par2
BB52	0.4	1.2	2.2	3.2	4.2
WYT25	0.1	1.1	2.1	3.1	4.1
OWW16	0.4	1.1	2.1	3.1	4.1
WYT55	0.4	1.1	2.1	3.1	4.1
PH24	0.2	1.2	2.2	3.2	4.2
WEL17	0.3	1.2	2.2	3.2	4.2
WEL20	0.3	1.2	2.2	3.2	4.2
WYT94	0.4	1.1	2.1	3.1	4.1
OWW01	0.4	1.1	2.1	3.1	4.1
WP05	0.1	1.1	2.1	3.1	4.1
WEL06	0.3	1.2	2.2	3.2	4.2
WYD09	0.3	1.1	2.1	3.1	4.1
WYT23	0.1	1.1	2.1	3.1	4.1
BB12	0.1	1.1	2.1	3.1	4.1
WYT07	0.4	1.1	2.1	3.1	4.1
WEL24	0.3	1.2	2.2	3.2	4.2
WiW11	0.1	1.1	2.1	3.1	4.1
BB25	0.4	1.1	2.1	3.1	4.1
WYT29	0.4	1.1	2.1	3.1	4.1
WP04	0.1	1.1	2.1	3.1	4.1
WYT38	0.1	1.1	2.1	3.1	4.1
LW05	0.4	1.1	2.1	3.1	4.1
PH03	0.4	1.2	2.2	3.2	4.2
WYT05	0.1	1.1	2.1	3.1	4.1
LW06	0.1	1.1	2.1	3.1	4.1
WYT47	0.4	1.1	2.1	3.1	4.1
BB26	0.1	1.2	2.2	3.2	4.2
WYT28	0.1	1.1	2.1	3.1	4.1
PH21	0.3	1.2	2.2	3.2	4.2
WiW02	0.4	1.1	2.1	3.1	4.1
OWW09	0.4	1.1	2.1	3.1	4.1
SAC12	0.2	1.2	2.2	3.2	4.2
LW01	0.1	1.1	2.1	3.1	4.1
AE95	0.3	1.1	2.1	3.1	4.1
WiW03	0.4	1.1	2.1	3.1	4.1
WP06	0.4	1.1	2.1	3.1	4.1
WYT63	0.3	1.1	2.1	3.1	4.1
AE05	0.3	1.1	2.1	3.1	4.1
WYT15	0.1	1.1	2.1	3.1	4.1
LW12	0.1	1.1	2.1	3.1	4.1
WF04	0.1	1.1	2.1	3.1	4.1
WEL23	0.2	1.2	2.2	3.2	4.2
WEL18	0.2	1.2	2.2	3.2	4.2
WiW31	0.1	1.1	2.1	3.1	4.1
PH05	0.1	1.2	2.2	3.2	4.2
WYT20	0.1	1.1	2.1	3.1	4.1
WYT51	0.4	1.1	2.1	3.1	4.1
WYT87	0.3	1.1	2.1	3.1	4.1
OWW08	0.4	1.1	2.1	3.1	4.1
WYM27	0.4	1.1	2.1	3.1	4.1
WF01	0.1	1.1	2.1	3.1	4.1
WiW04	0.1	1.1	2.1	3.1	4.1
WEL07	0.3	1.2	2.2	3.2	4.2
SAC16	0.2	1.2	2.2	3.2	4.2
AE172	0.1	1.1	2.1	3.1	4.1
PH13	0.3	1.2	2.2	3.2	4.2
BWd04	0.4	1.1	2.1	3.1	4.1
BB07	0.3	1.1	2.1	3.1	4.1
LW10	0.4	1.1	2.1	3.1	4.1
WYT116	0.3	1.1	2.1	3.1	4.1
SAC13	0.2	1.2	2.2	3.2	4.2
WiW50	0.4	1.1	2.1	3.1	4.1
WYT49	0.1	1.1	2.1	3.1	4.1
WiW26	0.3	1.1	2.1	3.1	4.1
WiW07	0.5	1.1	2.1	3.1	4.1
