"run","day","filename","filename_fullpaths","sample_name","site","samplenumber_site","latlong","collection_date","inclusionexclusionreason"
"021216DR515F","day7","day7_C10.CHE08.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","3_filtered/day7_C10.CHE08.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","CHE08.4","CHE","8","50.928 N 3.4796 W","2013-12-28","this study"
"021216DR515F","day7","day7_C10.OWW11.4_021216DR515FSAM1-92-pr_filt.fastq.gz","3_filtered/day7_C10.OWW11.4_021216DR515FSAM1-92-pr_filt.fastq.gz","OWW11.4","OWW","11","51.4497 N 0.5968 W","2013-09-26","this study"
"021216DR515F","day7","day7_C10.PH03.4_021216DR515FSAM1-88d-pr_filt.fastq.gz","3_filtered/day7_C10.PH03.4_021216DR515FSAM1-88d-pr_filt.fastq.gz","PH03.4","PH","3","51.5729 N 0.813001 W","2013-12-07","this study"
"021216DR515F","day7","day7_C10.WP11.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","3_filtered/day7_C10.WP11.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","WP11.4","WP","11","51.324101 N 0.615783 W","2013-11-28","this study"
"021216DR515F","day7","day7_C11.BWd03.4_021216DR515FSAM1-92-pr_filt.fastq.gz","3_filtered/day7_C11.BWd03.4_021216DR515FSAM1-92-pr_filt.fastq.gz","BWd03.4","BWd","3","51.1937 N 1.068 W","2013-10-03","this study"
"021216DR515F","day7","day7_C11.CHE11.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","3_filtered/day7_C11.CHE11.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","CHE11.4","CHE","11","50.928 N 3.4796 W","2013-12-28","this study"
"021216DR515F","day7","day7_C11.PH11.4_021216DR515FSAM1-88d-pr_filt.fastq.gz","3_filtered/day7_C11.PH11.4_021216DR515FSAM1-88d-pr_filt.fastq.gz","PH11.4","PH","11","51.57204 N 0.81328 W","2013-12-07","this study"
"021216DR515F","day7","day7_C11.SAC03.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","3_filtered/day7_C11.SAC03.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","SAC03.4","SAC","3","51.76896 N 0.34829 W","2013-12-03","this study"
"021216DR515F","day7","day7_C12.BB31.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","3_filtered/day7_C12.BB31.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","BB31.4","BB","31","51.5503 N 0.6335 W","2013-08-29","this study"
"021216DR515F","day7","day7_C12.PH19.4_021216DR515FSAM1-88d-pr_filt.fastq.gz","3_filtered/day7_C12.PH19.4_021216DR515FSAM1-88d-pr_filt.fastq.gz","PH19.4","PH","19","51.56965 N 0.81288 W","2013-12-07","this study"
"021216DR515F","day7","day7_C12.SAC11.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","3_filtered/day7_C12.SAC11.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","SAC11.4","SAC","11","51.76899 N 0.34911 W","2013-12-03","this study"
"021216DR515F","day7","day7_C12.WF03.4_021216DR515FSAM1-92-pr_filt.fastq.gz","3_filtered/day7_C12.WF03.4_021216DR515FSAM1-92-pr_filt.fastq.gz","WF03.4","WF","3","51.4474 N 0.64 W","2013-10-21","this study"
"021216DR515F","day7","day7_C2.BB11.4_021216DR515FSAM1-88d-pr_filt.fastq.gz","3_filtered/day7_C2.BB11.4_021216DR515FSAM1-88d-pr_filt.fastq.gz","BB11.4","BB","11","51.5591 N 0.6348 W","2013-08-20","this study"
"021216DR515F","day7","day7_C2.WiW11.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","3_filtered/day7_C2.WiW11.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","WiW11.4","WiW","11","51.4382 N 0.5997 W","2013-09-18","this study"
"021216DR515F","day7","day7_C2.WYT98.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","3_filtered/day7_C2.WYT98.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","WYT98.4","WYT","98","51.7728 N 1.337 W","2013-10-25","this study"
"021216DR515F","day7","day7_C3.WiW19.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","3_filtered/day7_C3.WiW19.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","WiW19.4","WiW","19","51.4415 N 0.5997 W","2013-09-18","this study"
"021216DR515F","day7","day7_C3.WYT19.4_021216DR515FSAM1-92-pr_filt.fastq.gz","3_filtered/day7_C3.WYT19.4_021216DR515FSAM1-92-pr_filt.fastq.gz","WYT19.4","WYT","19","51.7697 N 1.3295 W","2013-10-22","this study"
"021216DR515F","day7","day7_C3.WYT35.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","3_filtered/day7_C3.WYT35.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","WYT35.4","WYT","35","51.769 N 1.3291 W","2013-10-22","this study"
"021216DR515F","day7","day7_C4.RDM01.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","3_filtered/day7_C4.RDM01.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","RDM01.4","RDM","1","51.4098 N 0.6486 W","2013-09-25","this study"
"021216DR515F","day7","day7_C4.WiW27.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","3_filtered/day7_C4.WiW27.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","WiW27.4","WiW","27","51.4416 N 0.6009 W","2013-09-18","this study"
"021216DR515F","day7","day7_C4.WYT27.4_021216DR515FSAM1-92-pr_filt.fastq.gz","3_filtered/day7_C4.WYT27.4_021216DR515FSAM1-92-pr_filt.fastq.gz","WYT27.4","WYT","27","51.7694 N 1.3297 W","2013-10-22","this study"
"021216DR515F","day7","day7_C5.WEL03.4_021216DR515FSAM1-88d-pr_filt.fastq.gz","3_filtered/day7_C5.WEL03.4_021216DR515FSAM1-88d-pr_filt.fastq.gz","WEL03.4","WEL","3","50.9459 N 3.2072 W","2013-12-29","this study"
"021216DR515F","day7","day7_C5.WiW35.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","3_filtered/day7_C5.WiW35.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","WiW35.4","WiW","35","51.4418 N 0.6018 W","2013-09-18","this study"
"021216DR515F","day7","day7_C6.AE110.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","3_filtered/day7_C6.AE110.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","AE110.4","AE","110","51.79537 N 0.56065 W","2013-11-18","this study"
"021216DR515F","day7","day7_C6.WEL11.4_021216DR515FSAM1-88d-pr_filt.fastq.gz","3_filtered/day7_C6.WEL11.4_021216DR515FSAM1-88d-pr_filt.fastq.gz","WEL11.4","WEL","11","50.9466 N 3.2077 W","2013-12-29","this study"
"021216DR515F","day7","day7_C6.WiW43.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","3_filtered/day7_C6.WiW43.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","WiW43.4","WiW","43","51.4427 N 0.6017 W","2013-09-18","this study"
"021216DR515F","day7","day7_C6.WYT43.4_021216DR515FSAM1-92-pr_filt.fastq.gz","3_filtered/day7_C6.WYT43.4_021216DR515FSAM1-92-pr_filt.fastq.gz","WYT43.4","WYT","43","51.7687 N 1.3285 W","2013-10-22","this study"
"021216DR515F","day7","day7_C7.CHE09.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","3_filtered/day7_C7.CHE09.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","CHE09.4","CHE","9","50.928 N 3.4796 W","2013-12-28","this study"
"021216DR515F","day7","day7_C7.WEL19.4_021216DR515FSAM1-88d-pr_filt.fastq.gz","3_filtered/day7_C7.WEL19.4_021216DR515FSAM1-88d-pr_filt.fastq.gz","WEL19.4","WEL","19","50.9454 N 3.2104 W","2013-12-29","this study"
"021216DR515F","day7","day7_C7.WiW51.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","3_filtered/day7_C7.WiW51.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","WiW51.4","WiW","51","51.4425 N 0.5952 W","2013-09-18","this study"
"021216DR515F","day7","day7_C7.WYT51.4_021216DR515FSAM1-92-pr_filt.fastq.gz","3_filtered/day7_C7.WYT51.4_021216DR515FSAM1-92-pr_filt.fastq.gz","WYT51.4","WYT","51","51.7684 N 1.3327 W","2013-10-22","this study"
"021216DR515F","day7","day7_C8.LW01.4_021216DR515FSAM1-88d-pr_filt.fastq.gz","3_filtered/day7_C8.LW01.4_021216DR515FSAM1-88d-pr_filt.fastq.gz","LW01.4","LW","1","51.4226 N 0.6406 W","2013-09-12","this study"
"021216DR515F","day7","day7_C8.SP06.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","3_filtered/day7_C8.SP06.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","SP06.4","SP","6","51.412 N 0.6459 W","2013-09-11","this study"
"021216DR515F","day7","day7_C8.WYT59.4_021216DR515FSAM1-92-pr_filt.fastq.gz","3_filtered/day7_C8.WYT59.4_021216DR515FSAM1-92-pr_filt.fastq.gz","WYT59.4","WYT","59","51.7687 N 1.3358 W","2013-10-22","this study"
"021216DR515F","day7","day7_C9.AE116.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","3_filtered/day7_C9.AE116.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","AE116.4","AE","116","51.7962 N 0.5654 W","2013-11-21","this study"
"021216DR515F","day7","day7_C9.LW09.4_021216DR515FSAM1-88d-pr_filt.fastq.gz","3_filtered/day7_C9.LW09.4_021216DR515FSAM1-88d-pr_filt.fastq.gz","LW09.4","LW","9","51.4239 N 0.6403 W","2013-09-12","this study"
"021216DR515F","day7","day7_C9.OWW03.4_021216DR515FSAM1-92-pr_filt.fastq.gz","3_filtered/day7_C9.OWW03.4_021216DR515FSAM1-92-pr_filt.fastq.gz","OWW03.4","OWW","3","51.4503 N 0.5946 W","2013-09-26","this study"
"021216DR515F","day7","day7_C9.WP03.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","3_filtered/day7_C9.WP03.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","WP03.4","WP","3","51.32235 N 0.615685 W","2013-11-28","this study"
"021216DR515F","day7","day7_D1.BB04.4_021216DR515FSAM1-88d-pr_filt.fastq.gz","3_filtered/day7_D1.BB04.4_021216DR515FSAM1-88d-pr_filt.fastq.gz","BB04.4","BB","4","51.5575 N 0.6333 W","2013-08-20","this study"
"021216DR515F","day7","day7_D1.BB13.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","3_filtered/day7_D1.BB13.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","BB13.4","BB","13","51.5595 N 0.6349 W","2013-08-20","this study"
"021216DR515F","day7","day7_D1.WiW04.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","3_filtered/day7_D1.WiW04.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","WiW04.4","WiW","4","51.4117 N 0.6208 W","2013-09-18","this study"
"021216DR515F","day7","day7_D1.WYT04.4_021216DR515FSAM1-92-pr_filt.fastq.gz","3_filtered/day7_D1.WYT04.4_021216DR515FSAM1-92-pr_filt.fastq.gz","WYT04.4","WYT","4","51.7664 N 1.3295 W","2013-10-16","this study"
"021216DR515F","day7","day7_D10.BB28.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","3_filtered/day7_D10.BB28.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","BB28.4","BB","28","51.5509 N 0.6322 W","2013-08-29","this study"
"021216DR515F","day7","day7_D10.OWW12.4_021216DR515FSAM1-92-pr_filt.fastq.gz","3_filtered/day7_D10.OWW12.4_021216DR515FSAM1-92-pr_filt.fastq.gz","OWW12.4","OWW","12","51.4497 N 0.5968 W","2013-09-26","this study"
"021216DR515F","day7","day7_D10.PH04.4_021216DR515FSAM1-88d-pr_filt.fastq.gz","3_filtered/day7_D10.PH04.4_021216DR515FSAM1-88d-pr_filt.fastq.gz","PH04.4","PH","4","51.5724 N 0.81085 W","2013-12-07","this study"
"021216DR515F","day7","day7_D10.WP12.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","3_filtered/day7_D10.WP12.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","WP12.4","WP","12","51.323843 N 0.615964 W","2013-11-28","this study"
"021216DR515F","day7","day7_D11.BWd04.4_021216DR515FSAM1-92-pr_filt.fastq.gz","3_filtered/day7_D11.BWd04.4_021216DR515FSAM1-92-pr_filt.fastq.gz","BWd04.4","BWd","4","51.1936 N 1.0689 W","2013-10-03","this study"
"021216DR515F","day7","day7_D11.PH12.4_021216DR515FSAM1-88d-pr_filt.fastq.gz","3_filtered/day7_D11.PH12.4_021216DR515FSAM1-88d-pr_filt.fastq.gz","PH12.4","PH","12","51.57187 N 0.81388 W","2013-12-07","this study"
"021216DR515F","day7","day7_D11.SAC04.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","3_filtered/day7_D11.SAC04.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","SAC04.4","SAC","4","51.76896 N 0.34829 W","2013-12-03","this study"
"021216DR515F","day7","day7_D11.WYC41.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","3_filtered/day7_D11.WYC41.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","WYC41.4","WYC","41","51.7685 N 1.336 W","2013-10-22","this study"
"021216DR515F","day7","day7_D12.AE75.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","3_filtered/day7_D12.AE75.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","AE75.4","AE","75","51.79052 N 0.55762 W","2013-11-18","this study"
