"run","filename","filename_fullpaths","sample_name","inclusionexclusionreason"
"021216DR515F","day7_D7.Nov2.WYC42.2.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_D7.Nov2.WYC42.2.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","Nov2.WYC42.2.Com","scheuerl study"
"021216DR515F","day7_D8.Nov2.WYM25.2.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_D8.Nov2.WYM25.2.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","Nov2.WYM25.2.Com","scheuerl study"
"021216DR515F","day7_D9.Nov2.BB66.2.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_D9.Nov2.BB66.2.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","Nov2.BB66.2.Com","scheuerl study"
"021216DR515F","day7_E1.IsoMix.AE103.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_E1.IsoMix.AE103.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","IsoMix.AE103.1.Com","scheuerl study"
"021216DR515F","day7_E10.Mix.SP02.1.Bag_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_E10.Mix.SP02.1.Bag_021216DR515FSAM1-96b-pr_filt.fastq.gz","Mix.SP02.1.Bag","scheuerl study"
"021216DR515F","day7_E11.Mix.WYC42.1.Bag_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_E11.Mix.WYC42.1.Bag_021216DR515FSAM1-96b-pr_filt.fastq.gz","Mix.WYC42.1.Bag","scheuerl study"
"021216DR515F","day7_E12.MQ.CTRL.1.NA_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_E12.MQ.CTRL.1.NA_021216DR515FSAM1-96b-pr_filt.fastq.gz","MQ.CTRL.1.NA","scheuerl study"
"021216DR515F","day7_E2.IsoMix.BB22.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_E2.IsoMix.BB22.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","IsoMix.BB22.1.Com","scheuerl study"
"021216DR515F","day7_E3.IsoMix.SP02.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_E3.IsoMix.SP02.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","IsoMix.SP02.1.Com","scheuerl study"
"021216DR515F","day7_E4.IsoMix.SP03.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_E4.IsoMix.SP03.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","IsoMix.SP03.1.Com","scheuerl study"
"021216DR515F","day7_E5.IsoMix.SP04.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_E5.IsoMix.SP04.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","IsoMix.SP04.1.Com","scheuerl study"
"021216DR515F","day7_E6.IsoMix.WYC41.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_E6.IsoMix.WYC41.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","IsoMix.WYC41.1.Com","scheuerl study"
"021216DR515F","day7_E7.IsoMix.WYC42.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_E7.IsoMix.WYC42.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","IsoMix.WYC42.1.Com","scheuerl study"
"021216DR515F","day7_E8.IsoMix.WYM25.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_E8.IsoMix.WYM25.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","IsoMix.WYM25.1.Com","scheuerl study"
"021216DR515F","day7_E9.IsoMix.BB66.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_E9.IsoMix.BB66.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","IsoMix.BB66.1.Com","scheuerl study"
"021216DR515F","day7_F1.IsoMix.AE103.2.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_F1.IsoMix.AE103.2.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","IsoMix.AE103.2.Com","scheuerl study"
"021216DR515F","day7_F10.Mix.SP02.2.Bag_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_F10.Mix.SP02.2.Bag_021216DR515FSAM1-96b-pr_filt.fastq.gz","Mix.SP02.2.Bag","scheuerl study"
"021216DR515F","day7_F11.Mix.WYC42.2.Bag_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_F11.Mix.WYC42.2.Bag_021216DR515FSAM1-96b-pr_filt.fastq.gz","Mix.WYC42.2.Bag","scheuerl study"
"021216DR515F","day7_F12.MQ.CTRL.2.NA_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_F12.MQ.CTRL.2.NA_021216DR515FSAM1-96b-pr_filt.fastq.gz","MQ.CTRL.2.NA","scheuerl study"
"021216DR515F","day7_F2.IsoMix.BB22.2.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_F2.IsoMix.BB22.2.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","IsoMix.BB22.2.Com","scheuerl study"
"021216DR515F","day7_F3.IsoMix.SP02.2.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_F3.IsoMix.SP02.2.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","IsoMix.SP02.2.Com","scheuerl study"
"021216DR515F","day7_F4.IsoMix.SP03.2.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_F4.IsoMix.SP03.2.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","IsoMix.SP03.2.Com","scheuerl study"
"021216DR515F","day7_F5.IsoMix.SP04.2.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_F5.IsoMix.SP04.2.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","IsoMix.SP04.2.Com","scheuerl study"
"021216DR515F","day7_F6.IsoMix.WYC41.2.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_F6.IsoMix.WYC41.2.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","IsoMix.WYC41.2.Com","scheuerl study"
"021216DR515F","day7_F7.IsoMix.WYC42.2.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_F7.IsoMix.WYC42.2.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","IsoMix.WYC42.2.Com","scheuerl study"
"021216DR515F","day7_F8.IsoMix.WYM25.2.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_F8.IsoMix.WYM25.2.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","IsoMix.WYM25.2.Com","scheuerl study"
"021216DR515F","day7_F9.NIsoMix.BB66.2.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_F9.NIsoMix.BB66.2.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","NIsoMix.BB66.2.Com","scheuerl study"
"021216DR515F","day7_G1.CTRL.AE103.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_G1.CTRL.AE103.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","CTRL.AE103.1.Com","scheuerl study"
"021216DR515F","day7_G10.Mix.SP03.1.Bag_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_G10.Mix.SP03.1.Bag_021216DR515FSAM1-96b-pr_filt.fastq.gz","Mix.SP03.1.Bag","scheuerl study"
"021216DR515F","day7_G11.Mix.WYM25.1.Bag_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_G11.Mix.WYM25.1.Bag_021216DR515FSAM1-96b-pr_filt.fastq.gz","Mix.WYM25.1.Bag","scheuerl study"
"021216DR515F","day7_G12.PCR.CTRL.1.NA_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_G12.PCR.CTRL.1.NA_021216DR515FSAM1-96b-pr_filt.fastq.gz","PCR.CTRL.1.NA","scheuerl study"
"021216DR515F","day7_G2.CTRL.BB22.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_G2.CTRL.BB22.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","CTRL.BB22.1.Com","scheuerl study"
"021216DR515F","day7_G3.CTRL.SP02.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","3_filtered/day7_G3.CTRL.SP02.1.Com_021216DR515FSAM1-96b-pr_filt.fastq.gz","CTRL.SP02.1.Com","scheuerl study"
