"run","day","filename","filename_fullpaths","sample_name","site","samplenumber_site","latlong","collection_date","inclusionexclusionreason"
"052214DR16s","day0","day0_B08.AE18_052214DR16s-Sam551-625-pr_filt.fastq.gz","3_filtered/day0_B08.AE18_052214DR16s-Sam551-625-pr_filt.fastq.gz","AE18","AE","18","51.78599 N 0.55237 W","2013-10-30","this study"
"052214DR16s","day0","day0_B08.BB34_052214DR16s-SAM81-160-pr_filt.fastq.gz","3_filtered/day0_B08.BB34_052214DR16s-SAM81-160-pr_filt.fastq.gz","BB34","BB","34","51.551 N 0.6327 W","2013-08-29","this study"
"052214DR16s","day0","day0_B08.LW08_052214DR16s-Sam1-80-pr_filt.fastq.gz","3_filtered/day0_B08.LW08_052214DR16s-Sam1-80-pr_filt.fastq.gz","LW08","LW","8","51.4245 N 0.6382 W","2013-09-12","this study"
"052214DR16s","day0","day0_B08.OWW02_052214DR16s-Sam321-400-pr_filt.fastq.gz","3_filtered/day0_B08.OWW02_052214DR16s-Sam321-400-pr_filt.fastq.gz","OWW02","OWW","2","51.4503 N 0.5941 W","2013-09-26","this study"
"052214DR16s","day0","day0_B08.WEL18_052214DR16s-Sam401-475-pr_filt.fastq.gz","3_filtered/day0_B08.WEL18_052214DR16s-Sam401-475-pr_filt.fastq.gz","WEL18","WEL","18","50.9454 N 3.2104 W","2013-12-29","this study"
"052214DR16s","day0","day0_B08.WiW26_052214DR16s-Sam701-775-pr_filt.fastq.gz","3_filtered/day0_B08.WiW26_052214DR16s-Sam701-775-pr_filt.fastq.gz","WiW26","WiW","26","51.4416 N 0.6009 W","2013-09-18","this study"
"052214DR16s","day0","day0_B08.WYT72_052214DR16s-Sam626-700-pr_filt.fastq.gz","3_filtered/day0_B08.WYT72_052214DR16s-Sam626-700-pr_filt.fastq.gz","WYT72","WYT","72","51.7697 N 1.3348 W","2013-10-25","this study"
"052214DR16s","day0","day0_B09.AE113_052214DR16s-Sam851-925-pr_filt.fastq.gz","3_filtered/day0_B09.AE113_052214DR16s-Sam851-925-pr_filt.fastq.gz","AE113","AE","113","51.7962 N 0.5654 W","2013-11-21","this study"
"052214DR16s","day0","day0_B09.HW02_052214DR16s-Sam1-80-pr_filt.fastq.gz","3_filtered/day0_B09.HW02_052214DR16s-Sam1-80-pr_filt.fastq.gz","HW02","HW","2","51.58516 N 0.77863 W","2013-10-29","this study"
"052214DR16s","day0","day0_B09.PH02_052214DR16s-Sam161-240-pr_filt.fastq.gz","3_filtered/day0_B09.PH02_052214DR16s-Sam161-240-pr_filt.fastq.gz","PH02","PH","2","51.57306 N 0.81191 W","2013-12-07","this study"
"052214DR16s","day0","day0_B09.WiW02_052214DR16s-Sam321-400-pr_filt.fastq.gz","3_filtered/day0_B09.WiW02_052214DR16s-Sam321-400-pr_filt.fastq.gz","WiW02","WiW","2","51.4117 N 0.6208 W","2013-09-18","this study"
"052214DR16s","day0","day0_B09.WiW34_052214DR16s-Sam701-775-pr_filt.fastq.gz","3_filtered/day0_B09.WiW34_052214DR16s-Sam701-775-pr_filt.fastq.gz","WiW34","WiW","34","51.4417 N 0.6018 W","2013-09-18","this study"
"052214DR16s","day0","day0_B09.WYT26_052214DR16s-Sam551-625-pr_filt.fastq.gz","3_filtered/day0_B09.WYT26_052214DR16s-Sam551-625-pr_filt.fastq.gz","WYT26","WYT","26","51.7694 N 1.3297 W","2013-10-22","this study"
"052214DR16s","day0","day0_B09.WYT80_052214DR16s-Sam626-700-pr_filt.fastq.gz","3_filtered/day0_B09.WYT80_052214DR16s-Sam626-700-pr_filt.fastq.gz","WYT80","WYT","80","51.7701 N 1.3366 W","2013-10-25","this study"
"052214DR16s","day0","day0_B10.AE121_052214DR16s-Sam851-925-pr_filt.fastq.gz","3_filtered/day0_B10.AE121_052214DR16s-Sam851-925-pr_filt.fastq.gz","AE121","AE","121","51.79706 N 0.56418 W","2013-11-21","this study"
"052214DR16s","day0","day0_B10.AE153_052214DR16s-Sam551-625-pr_filt.fastq.gz","3_filtered/day0_B10.AE153_052214DR16s-Sam551-625-pr_filt.fastq.gz","AE153","AE","153","51.79681 N 0.56245 W","2013-11-21","this study"
"052214DR16s","day0","day0_B10.AE26_052214DR16s-Sam161-240-pr_filt.fastq.gz","3_filtered/day0_B10.AE26_052214DR16s-Sam161-240-pr_filt.fastq.gz","AE26","AE","26","51.78573 N 0.55218 W","2013-10-30","this study"
"052214DR16s","day0","day0_B10.WF02_052214DR16s-Sam321-400-pr_filt.fastq.gz","3_filtered/day0_B10.WF02_052214DR16s-Sam321-400-pr_filt.fastq.gz","WF02","WF","2","51.4503 N 0.6338 W","2013-10-21","this study"
"052214DR16s","day0","day0_B10.WiW10_052214DR16s-Sam1-80-pr_filt.fastq.gz","3_filtered/day0_B10.WiW10_052214DR16s-Sam1-80-pr_filt.fastq.gz","WiW10","WiW","10","51.4378 N 0.5995 W","2013-09-18","this study"
"052214DR16s","day0","day0_B10.WiW42_052214DR16s-Sam701-775-pr_filt.fastq.gz","3_filtered/day0_B10.WiW42_052214DR16s-Sam701-775-pr_filt.fastq.gz","WiW42","WiW","42","51.4427 N 0.6017 W","2013-09-18","this study"
"052214DR16s","day0","day0_B10.WYM10_052214DR16s-Sam401-475-pr_filt.fastq.gz","3_filtered/day0_B10.WYM10_052214DR16s-Sam401-475-pr_filt.fastq.gz","WYM10","WYM","10","51.7693 N 1.3297 W","2013-10-22","this study"
"052214DR16s","day0","day0_B10.WYT88_052214DR16s-Sam626-700-pr_filt.fastq.gz","3_filtered/day0_B10.WYT88_052214DR16s-Sam626-700-pr_filt.fastq.gz","WYT88","WYT","88","51.7725 N 1.337 W","2013-10-25","this study"
"052214DR16s","day0","day0_B11.AE10_052214DR16s-Sam476-550_filt.fastq.gz","3_filtered/day0_B11.AE10_052214DR16s-Sam476-550_filt.fastq.gz","AE10","AE","10","51.78638 N 0.55215 W","2013-10-30","this study"
"052214DR16s","day0","day0_B11.AE129_052214DR16s-Sam851-925-pr_filt.fastq.gz","3_filtered/day0_B11.AE129_052214DR16s-Sam851-925-pr_filt.fastq.gz","AE129","AE","129","51.79772 N 0.56295 W","2013-11-21","this study"
"052214DR16s","day0","day0_B11.AE161_052214DR16s-Sam551-625-pr_filt.fastq.gz","3_filtered/day0_B11.AE161_052214DR16s-Sam551-625-pr_filt.fastq.gz","AE161","AE","161","51.7953 N 0.56182 W","2013-11-21","this study"
"052214DR16s","day0","day0_B11.AE34_052214DR16s-Sam161-240-pr_filt.fastq.gz","3_filtered/day0_B11.AE34_052214DR16s-Sam161-240-pr_filt.fastq.gz","AE34","AE","34","51.7852 N 0.55218 W","2013-10-30","this study"
"052214DR16s","day0","day0_B11.AE74_052214DR16s-Sam776-850-pr_filt.fastq.gz","3_filtered/day0_B11.AE74_052214DR16s-Sam776-850-pr_filt.fastq.gz","AE74","AE","74","51.79052 N 0.55762 W","2013-11-18","this study"
"052214DR16s","day0","day0_B11.BWd02_052214DR16s-Sam321-400-pr_filt.fastq.gz","3_filtered/day0_B11.BWd02_052214DR16s-Sam321-400-pr_filt.fastq.gz","BWd02","BWd","2","51.1946 N 1.0674 W","2013-10-03","this study"
"052214DR16s","day0","day0_B11.WiW50_052214DR16s-Sam626-700-pr_filt.fastq.gz","3_filtered/day0_B11.WiW50_052214DR16s-Sam626-700-pr_filt.fastq.gz","WiW50","WiW","50","51.43 N 0.5944 W","2013-09-18","this study"
"052214DR16s","day0","day0_B11.WYC02_052214DR16s-SAM81-160-pr_filt.fastq.gz","3_filtered/day0_B11.WYC02_052214DR16s-SAM81-160-pr_filt.fastq.gz","WYC02","WYC","2","51.7698 N 1.3294 W","2013-10-22","this study"
"052214DR16s","day0","day0_B12.AE137_052214DR16s-Sam851-925-pr_filt.fastq.gz","3_filtered/day0_B12.AE137_052214DR16s-Sam851-925-pr_filt.fastq.gz","AE137","AE","137","51.79709 N 0.56201 W","2013-11-21","this study"
"052214DR16s","day0","day0_B12.AE169_052214DR16s-Sam551-625-pr_filt.fastq.gz","3_filtered/day0_B12.AE169_052214DR16s-Sam551-625-pr_filt.fastq.gz","AE169","AE","169","51.79545 N 0.56119 W","2013-11-21","this study"
"052214DR16s","day0","day0_B12.AE42_052214DR16s-Sam161-240-pr_filt.fastq.gz","3_filtered/day0_B12.AE42_052214DR16s-Sam161-240-pr_filt.fastq.gz","AE42","AE","42","51.78566 N 0.55148 W","2013-10-30","this study"
"052214DR16s","day0","day0_B12.AE82_052214DR16s-Sam776-850-pr_filt.fastq.gz","3_filtered/day0_B12.AE82_052214DR16s-Sam776-850-pr_filt.fastq.gz","AE82","AE","82","51.79037 N 0.55803 W","2013-11-18","this study"
"052214DR16s","day0","day0_B12.LW02_052214DR16s-Sam321-400-pr_filt.fastq.gz","3_filtered/day0_B12.LW02_052214DR16s-Sam321-400-pr_filt.fastq.gz","LW02","LW","2","51.4231 N 0.6396 W","2013-09-12","this study"
"052214DR16s","day0","day0_B12.WP10_052214DR16s-SAM81-160-pr_filt.fastq.gz","3_filtered/day0_B12.WP10_052214DR16s-SAM81-160-pr_filt.fastq.gz","WP10","WP","10","51.324101 N 0.615783 W","2013-11-28","this study"
"052214DR16s","day0","day0_B12.WYM18_052214DR16s-Sam626-700-pr_filt.fastq.gz","3_filtered/day0_B12.WYM18_052214DR16s-Sam626-700-pr_filt.fastq.gz","WYM18","WYM","18","51.7687 N 1.3285 W","2013-10-22","this study"
"052214DR16s","day0","day0_B12.WYT18_052214DR16s-Sam476-550_filt.fastq.gz","3_filtered/day0_B12.WYT18_052214DR16s-Sam476-550_filt.fastq.gz","WYT18","WYT","18","51.7697 N 1.3295 W","2013-10-22","this study"
"052214DR16s","day0","day0_BW17_052214DR16s-Sam776-850-pr_filt.fastq.gz","3_filtered/day0_BW17_052214DR16s-Sam776-850-pr_filt.fastq.gz","BW17","BW","17","51.54731 N 0.77295 W","2013-10-29","this study"
"052214DR16s","day0","day0_BW18_052214DR16s-Sam776-850-pr_filt.fastq.gz","3_filtered/day0_BW18_052214DR16s-Sam776-850-pr_filt.fastq.gz","BW18","BW","18","51.54825 N 0.77265 W","2013-10-29","this study"
"052214DR16s","day0","day0_BW19_052214DR16s-Sam776-850-pr_filt.fastq.gz","3_filtered/day0_BW19_052214DR16s-Sam776-850-pr_filt.fastq.gz","BW19","BW","19","51.54837 N 0.77248 W","2013-10-29","this study"
"052214DR16s","day0","day0_BW20_052214DR16s-Sam776-850-pr_filt.fastq.gz","3_filtered/day0_BW20_052214DR16s-Sam776-850-pr_filt.fastq.gz","BW20","BW","20","51.54848 N 0.77251 W","2013-10-29","this study"
"052214DR16s","day0","day0_BW21_052214DR16s-Sam776-850-pr_filt.fastq.gz","3_filtered/day0_BW21_052214DR16s-Sam776-850-pr_filt.fastq.gz","BW21","BW","21","51.54848 N 0.77251 W","2013-10-29","this study"
"052214DR16s","day0","day0_BW22_052214DR16s-Sam776-850-pr_filt.fastq.gz","3_filtered/day0_BW22_052214DR16s-Sam776-850-pr_filt.fastq.gz","BW22","BW","22","51.54848 N 0.77251 W","2013-10-29","this study"
"052214DR16s","day0","day0_BW23_052214DR16s-Sam776-850-pr_filt.fastq.gz","3_filtered/day0_BW23_052214DR16s-Sam776-850-pr_filt.fastq.gz","BW23","BW","23","51.54983 N 0.77164 W","2013-10-29","this study"
"052214DR16s","day0","day0_BW24_052214DR16s-Sam776-850-pr_filt.fastq.gz","3_filtered/day0_BW24_052214DR16s-Sam776-850-pr_filt.fastq.gz","BW24","BW","24","51.54983 N 0.77164 W","2013-10-29","this study"
"052214DR16s","day0","day0_C01.AE51_052214DR16s-Sam476-550_filt.fastq.gz","3_filtered/day0_C01.AE51_052214DR16s-Sam476-550_filt.fastq.gz","AE51","AE","51","51.785 N 0.55104 W","2013-10-30","this study"
"052214DR16s","day0","day0_C01.BB03_052214DR16s-Sam1-80-pr_filt.fastq.gz","3_filtered/day0_C01.BB03_052214DR16s-Sam1-80-pr_filt.fastq.gz","BB03","BB","3","51.5575 N 0.6334 W","2013-08-20","this study"
"052214DR16s","day0","day0_C01.HW11_052214DR16s-Sam401-475-pr_filt.fastq.gz","3_filtered/day0_C01.HW11_052214DR16s-Sam401-475-pr_filt.fastq.gz","HW11","HW","11","51.58496 N 0.77583 W","2013-10-29","this study"
"052214DR16s","day0","day0_C01.OWW11_052214DR16s-SAM81-160-pr_filt.fastq.gz","3_filtered/day0_C01.OWW11_052214DR16s-SAM81-160-pr_filt.fastq.gz","OWW11","OWW","11","51.4497 N 0.5968 W","2013-09-26","this study"
"052214DR16s","day0","day0_C01.WYM27_052214DR16s-Sam626-700-pr_filt.fastq.gz","3_filtered/day0_C01.WYM27_052214DR16s-Sam626-700-pr_filt.fastq.gz","WYM27","WYM","27","51.7685 N 1.3281 W","2013-10-22","this study"
"052214DR16s","day0","day0_C01.WYT03_052214DR16s-Sam241-320-pr_filt.fastq.gz","3_filtered/day0_C01.WYT03_052214DR16s-Sam241-320-pr_filt.fastq.gz","WYT03","WYT","3","51.7699 N 1.3299 W","2013-10-16","this study"
"052214DR16s","day0","day0_C01.WYT35_052214DR16s-Sam551-625-pr_filt.fastq.gz","3_filtered/day0_C01.WYT35_052214DR16s-Sam551-625-pr_filt.fastq.gz","WYT35","WYT","35","51.769 N 1.3291 W","2013-10-22","this study"
"052214DR16s","day0","day0_C01.WYT97_052214DR16s-Sam776-850-pr_filt.fastq.gz","3_filtered/day0_C01.WYT97_052214DR16s-Sam776-850-pr_filt.fastq.gz","WYT97","WYT","97","51.7728 N 1.337 W","2013-10-25","this study"
"052214DR16s","day0","day0_C02.AE59_052214DR16s-Sam476-550_filt.fastq.gz","3_filtered/day0_C02.AE59_052214DR16s-Sam476-550_filt.fastq.gz","AE59","AE","59","51.7845 N 0.55139 W","2013-10-30","this study"
"052214DR16s","day0","day0_C02.BB11_052214DR16s-Sam1-80-pr_filt.fastq.gz","3_filtered/day0_C02.BB11_052214DR16s-Sam1-80-pr_filt.fastq.gz","BB11","BB","11","51.5591 N 0.6348 W","2013-08-20","this study"
"052214DR16s","day0","day0_C02.BCW03_052214DR16s-Sam241-320-pr_filt.fastq.gz","3_filtered/day0_C02.BCW03_052214DR16s-Sam241-320-pr_filt.fastq.gz","BCW03","BCW","3","51.1395 N 3.7535 W","2014-04-21","this study"
"052214DR16s","day0","day0_C02.BCW19_052214DR16s-SAM81-160-pr_filt.fastq.gz","3_filtered/day0_C02.BCW19_052214DR16s-SAM81-160-pr_filt.fastq.gz","BCW19","BCW","19","50.9718 N 3.4543 W","2014-04-21","this study"
"052214DR16s","day0","day0_C02.WiW19_052214DR16s-Sam401-475-pr_filt.fastq.gz","3_filtered/day0_C02.WiW19_052214DR16s-Sam401-475-pr_filt.fastq.gz","WiW19","WiW","19","51.4415 N 0.5997 W","2013-09-18","this study"
"052214DR16s","day0","day0_C02.WYM35_052214DR16s-Sam701-775-pr_filt.fastq.gz","3_filtered/day0_C02.WYM35_052214DR16s-Sam701-775-pr_filt.fastq.gz","WYM35","WYM","35","51.7635 N 1.3267 W","2013-10-22","this study"
"052214DR16s","day0","day0_C02.WYT105_052214DR16s-Sam776-850-pr_filt.fastq.gz","3_filtered/day0_C02.WYT105_052214DR16s-Sam776-850-pr_filt.fastq.gz","WYT105","WYT","105","51.7717 N 1.3376 W","2013-10-25","this study"
"052214DR16s","day0","day0_C02.WYT43_052214DR16s-Sam551-625-pr_filt.fastq.gz","3_filtered/day0_C02.WYT43_052214DR16s-Sam551-625-pr_filt.fastq.gz","WYT43","WYT","43","51.7687 N 1.3285 W","2013-10-22","this study"
"052214DR16s","day0","day0_C03.BW03_052214DR16s-Sam241-320-pr_filt.fastq.gz","3_filtered/day0_C03.BW03_052214DR16s-Sam241-320-pr_filt.fastq.gz","BW03","BW","3","51.54808 N 0.77274 W","2013-10-29","this study"
