"X","filename","community","day","rep","seq.run","well"
64,"day0_A08.AE109_052214DR16s-Sam851-925-pr_filt.fastq.gz","AE109",0,NA,"052214DR16s","A08"
65,"day0_A08.AE17_052214DR16s-Sam551-625-pr_filt.fastq.gz","AE17",0,NA,"052214DR16s","A08"
66,"day0_A08.BB33_052214DR16s-SAM81-160-pr_filt.fastq.gz","BB33",0,NA,"052214DR16s","A08"
68,"day0_A08.LW07_052214DR16s-Sam1-80-pr_filt.fastq.gz","LW07",0,NA,"052214DR16s","A08"
69,"day0_A08.OWW01_052214DR16s-Sam321-400-pr_filt.fastq.gz","OWW01",0,NA,"052214DR16s","A08"
70,"day0_A08.WEL17_052214DR16s-Sam401-475-pr_filt.fastq.gz","WEL17",0,NA,"052214DR16s","A08"
71,"day0_A08.WiW25_052214DR16s-Sam701-775-pr_filt.fastq.gz","WiW25",0,NA,"052214DR16s","A08"
72,"day0_A08.WYT71_052214DR16s-Sam626-700-pr_filt.fastq.gz","WYT71",0,NA,"052214DR16s","A08"
73,"day0_A09.AE112_052214DR16s-Sam851-925-pr_filt.fastq.gz","AE112",0,NA,"052214DR16s","A09"
76,"day0_A09.HW01_052214DR16s-Sam1-80-pr_filt.fastq.gz","HW01",0,NA,"052214DR16s","A09"
77,"day0_A09.PH01_052214DR16s-Sam161-240-pr_filt.fastq.gz","PH01",0,NA,"052214DR16s","A09"
78,"day0_A09.WiW01_052214DR16s-Sam321-400-pr_filt.fastq.gz","WiW01",0,NA,"052214DR16s","A09"
79,"day0_A09.WiW33_052214DR16s-Sam701-775-pr_filt.fastq.gz","WiW33",0,NA,"052214DR16s","A09"
80,"day0_A09.WYT25_052214DR16s-Sam551-625-pr_filt.fastq.gz","WYT25",0,NA,"052214DR16s","A09"
81,"day0_A09.WYT79_052214DR16s-Sam626-700-pr_filt.fastq.gz","WYT79",0,NA,"052214DR16s","A09"
83,"day0_A10.AE120_052214DR16s-Sam851-925-pr_filt.fastq.gz","AE120",0,NA,"052214DR16s","A10"
84,"day0_A10.AE152_052214DR16s-Sam551-625-pr_filt.fastq.gz","AE152",0,NA,"052214DR16s","A10"
85,"day0_A10.AE25_052214DR16s-Sam161-240-pr_filt.fastq.gz","AE25",0,NA,"052214DR16s","A10"
88,"day0_A10.WF01_052214DR16s-Sam321-400-pr_filt.fastq.gz","WF01",0,NA,"052214DR16s","A10"
89,"day0_A10.WiW09_052214DR16s-Sam1-80-pr_filt.fastq.gz","WiW09",0,NA,"052214DR16s","A10"
90,"day0_A10.WiW41_052214DR16s-Sam701-775-pr_filt.fastq.gz","WiW41",0,NA,"052214DR16s","A10"
91,"day0_A10.WYM09_052214DR16s-Sam401-475-pr_filt.fastq.gz","WYM09",0,NA,"052214DR16s","A10"
93,"day0_A11.AE09_052214DR16s-Sam476-550_filt.fastq.gz","AE09",0,NA,"052214DR16s","A11"
94,"day0_A11.AE128_052214DR16s-Sam851-925-pr_filt.fastq.gz","AE128",0,NA,"052214DR16s","A11"
95,"day0_A11.AE148c_052214DR16s-Sam241-320-pr_filt.fastq.gz","AE148c",0,NA,"052214DR16s","A11"
96,"day0_A11.AE160_052214DR16s-Sam551-625-pr_filt.fastq.gz","AE160",0,NA,"052214DR16s","A11"
97,"day0_A11.AE33_052214DR16s-Sam161-240-pr_filt.fastq.gz","AE33",0,NA,"052214DR16s","A11"
98,"day0_A11.AE73_052214DR16s-Sam776-850-pr_filt.fastq.gz","AE73",0,NA,"052214DR16s","A11"
99,"day0_A11.BWd01_052214DR16s-Sam321-400-pr_filt.fastq.gz","BWd01",0,NA,"052214DR16s","A11"
101,"day0_A11.WiW49_052214DR16s-Sam626-700-pr_filt.fastq.gz","WiW49",0,NA,"052214DR16s","A11"
102,"day0_A11.WYC01_052214DR16s-SAM81-160-pr_filt.fastq.gz","WYC01",0,NA,"052214DR16s","A11"
103,"day0_A12.AE136_052214DR16s-Sam851-925-pr_filt.fastq.gz","AE136",0,NA,"052214DR16s","A12"
104,"day0_A12.AE168_052214DR16s-Sam551-625-pr_filt.fastq.gz","AE168",0,NA,"052214DR16s","A12"
