"","community","day","rep","seq.run","well"
"221","AE10",0,NA,"052214DR16s","B11"
"222","AE129",0,NA,"052214DR16s","B11"
"223","AE155c",0,NA,"052214DR16s","B11"
"224","AE161",0,NA,"052214DR16s","B11"
"225","AE34",0,NA,"052214DR16s","B11"
"226","AE74",0,NA,"052214DR16s","B11"
"227","BWd02",0,NA,"052214DR16s","B11"
"228","PU",0,NA,"052214DR16s","B11"
"229","WiW50",0,NA,"052214DR16s","B11"
"230","WYC02",0,NA,"052214DR16s","B11"
"231","AE137",0,NA,"052214DR16s","B12"
"232","AE169",0,NA,"052214DR16s","B12"
"233","AE42",0,NA,"052214DR16s","B12"
"234","AE50c",0,NA,"052214DR16s","B12"
"235","AE82",0,NA,"052214DR16s","B12"
"236","LW02",0,NA,"052214DR16s","B12"
"237","RU",0,NA,"052214DR16s","B12"
"238","WP10",0,NA,"052214DR16s","B12"
"239","WYM18",0,NA,"052214DR16s","B12"
"240","WYT18",0,NA,"052214DR16s","B12"
"241","LF",0,NA,"052214DR16s","B2"
"242","MF",0,NA,"052214DR16s","B3"
"243","NF",0,NA,"052214DR16s","B4"
"244","QF",0,NA,"052214DR16s","B5"
"245","PF",0,NA,"052214DR16s","B6"
"246","RF",0,NA,"052214DR16s","B7"
"247","SF",0,NA,"052214DR16s","B8"
"248","KU",0,NA,"052214DR16s","B9"
"249","052214DR16s",0,NA,"052214DR16s","BW17"
"250","052214DR16s",0,NA,"052214DR16s","BW18"
"251","052214DR16s",0,NA,"052214DR16s","BW19"
"252","052214DR16s",0,NA,"052214DR16s","BW20"
"253","052214DR16s",0,NA,"052214DR16s","BW21"
"254","052214DR16s",0,NA,"052214DR16s","BW22"
"255","052214DR16s",0,NA,"052214DR16s","BW23"
"256","052214DR16s",0,NA,"052214DR16s","BW24"
"257","AE51",0,NA,"052214DR16s","C01"
"258","BB03",0,NA,"052214DR16s","C01"
"259","BB29c",0,NA,"052214DR16s","C01"
"260","HW11",0,NA,"052214DR16s","C01"
"261","OWW11",0,NA,"052214DR16s","C01"
"262","WYM27",0,NA,"052214DR16s","C01"
"263","WYT03",0,NA,"052214DR16s","C01"
"264","WYT35",0,NA,"052214DR16s","C01"
"265","WYT97",0,NA,"052214DR16s","C01"
"266","AE59",0,NA,"052214DR16s","C02"
"267","BB11",0,NA,"052214DR16s","C02"
"268","BB57c",0,NA,"052214DR16s","C02"
"269","BCW03",0,NA,"052214DR16s","C02"
"270","BCW19",0,NA,"052214DR16s","C02"
"271","WiW19",0,NA,"052214DR16s","C02"
"272","WYM35",0,NA,"052214DR16s","C02"
"273","WYT105",0,NA,"052214DR16s","C02"
"274","WYT43",0,NA,"052214DR16s","C02"
"275","BB96c",0,NA,"052214DR16s","C03"
"276","BW03",0,NA,"052214DR16s","C03"
"277","SAC11",0,NA,"052214DR16s","C03"
"278","WGP19",0,NA,"052214DR16s","C03"
"279","WiW27",0,NA,"052214DR16s","C03"
"280","WYM43",0,NA,"052214DR16s","C03"
"281","WYT11",0,NA,"052214DR16s","C03"
"282","WYT113",0,NA,"052214DR16s","C03"
"283","WYT51",0,NA,"052214DR16s","C03"
"284","BB67",0,NA,"052214DR16s","C04"
"285","BW11",0,NA,"052214DR16s","C04"
"286","PH19",0,NA,"052214DR16s","C04"
"287","SAC03",0,NA,"052214DR16s","C04"
"288","SP07c",0,NA,"052214DR16s","C04"
"289","WiW35",0,NA,"052214DR16s","C04"
"290","WYC11",0,NA,"052214DR16s","C04"
"291","WYD11",0,NA,"052214DR16s","C04"
"292","WYT71a",0,NA,"052214DR16s","C04"
"293","AE03",0,NA,"052214DR16s","C05"
"294","BB51",0,NA,"052214DR16s","C05"
"295","BB75",0,NA,"052214DR16s","C05"
"296","BB91",0,NA,"052214DR16s","C05"
"297","BCW11",0,NA,"052214DR16s","C05"
"298","SP12",0,NA,"052214DR16s","C05"
"299","WYC19",0,NA,"052214DR16s","C05"
