"sample_name","library_ID","community","site","treehole_number_site","latlong","collection_date"
"day7_C2.BB11.1_021216DR515FSAM1-88a-pr_filt","day7_C2.BB11.1","BB11","BB","11","51.5591 N 0.6348 W",2013-08-20
"day7_C2.BB11.2_021216DR515FSAM1-88b-pr_filt","day7_C2.BB11.2","BB11","BB","11","51.5591 N 0.6348 W",2013-08-20
"day7_C2.BB11.3_021216DR515FSAM1-88c-pr_filt","day7_C2.BB11.3","BB11","BB","11","51.5591 N 0.6348 W",2013-08-20
"day7_C2.BB11.4_021216DR515FSAM1-88d-pr_filt","day7_C2.BB11.4","BB11","BB","11","51.5591 N 0.6348 W",2013-08-20
"day7_C2.OWW11.1_021216DR515FSAM1-91b-pr_filt","day7_C2.OWW11.1","OWW11","OWW","11","51.4497 N 0.5968 W",2013-09-26
"day7_C2.OWW11.2_021216DR515FSAM1-8a-pr_filt","day7_C2.OWW11.2","OWW11","OWW","11","51.4497 N 0.5968 W",2013-09-26
"day7_C2.OWW11.3_021216DR515FSAM1-91c-pr_filt","day7_C2.OWW11.3","OWW11","OWW","11","51.4497 N 0.5968 W",2013-09-26
"day7_C2.WiW11.1_021216DR515FSAM1-89a-pr_filt","day7_C2.WiW11.1","WiW11","WiW","11","51.4382 N 0.5997 W",2013-09-18
"day7_C2.WiW11.2_021216DR515FSAM1-89b-pr_filt","day7_C2.WiW11.2","WiW11","WiW","11","51.4382 N 0.5997 W",2013-09-18
"day7_C2.WiW11.3_021216DR515FSAM1-89c-pr_filt","day7_C2.WiW11.3","WiW11","WiW","11","51.4382 N 0.5997 W",2013-09-18
"day7_C2.WiW11.4_021216DR515FSAM1-89d-pr_filt","day7_C2.WiW11.4","WiW11","WiW","11","51.4382 N 0.5997 W",2013-09-18
"day7_C2.WYT98.1_021216DR515FSAM1-96c-pr_filt","day7_C2.WYT98.1","WYT98","WYT","98","51.7728 N 1.337 W",2013-10-25
"day7_C2.WYT98.2_021216DR515FSAM1-96d-pr_filt","day7_C2.WYT98.2","WYT98","WYT","98","51.7728 N 1.337 W",2013-10-25
"day7_C2.WYT98.3_021216DR515FSAM1-96e-pr_filt","day7_C2.WYT98.3","WYT98","WYT","98","51.7728 N 1.337 W",2013-10-25
"day7_C2.WYT98.4_021216DR515FSAM1-96f-pr_filt","day7_C2.WYT98.4","WYT98","WYT","98","51.7728 N 1.337 W",2013-10-25
"day7_C3.BWd03.1_021216DR515FSAM1-91b-pr_filt","day7_C3.BWd03.1","BWd03","BWd","3","51.1937 N 1.068 W",2013-10-03
"day7_C3.BWd03.2_021216DR515FSAM1-91a-pr_filt","day7_C3.BWd03.2","BWd03","BWd","3","51.1937 N 1.068 W",2013-10-03
"day7_C3.BWd03.3_021216DR515FSAM1-91c-pr_filt","day7_C3.BWd03.3","BWd03","BWd","3","51.1937 N 1.068 W",2013-10-03
"day7_C3.WiW19.1_021216DR515FSAM1-89a-pr_filt","day7_C3.WiW19.1","WiW19","WiW","19","51.4415 N 0.5997 W",2013-09-18
"day7_C3.WiW19.2_021216DR515FSAM1-89b-pr_filt","day7_C3.WiW19.2","WiW19","WiW","19","51.4415 N 0.5997 W",2013-09-18
"day7_C3.WiW19.3_021216DR515FSAM1-89c-pr_filt","day7_C3.WiW19.3","WiW19","WiW","19","51.4415 N 0.5997 W",2013-09-18
"day7_C3.WiW19.4_021216DR515FSAM1-42-pr_filt","day7_C3.WiW19.4","WiW19","WiW","19","51.4415 N 0.5997 W",2013-09-18
"day7_C3.WYT19.4_021216DR515FSAM1-92-pr_filt","day7_C3.WYT19.4","WYT19","WYT","19","51.7697 N 1.3295 W",2013-10-22
"day7_C3.WYT35.1_021216DR515FSAM1-96c-pr_filt","day7_C3.WYT35.1","WYT35","WYT","35","51.769 N 1.3291 W",2013-10-22
"day7_C3.WYT35.2_021216DR515FSAM1-96d-pr_filt","day7_C3.WYT35.2","WYT35","WYT","35","51.769 N 1.3291 W",2013-10-22
"day7_C3.WYT35.3_021216DR515FSAM1-96e-pr_filt","day7_C3.WYT35.3","WYT35","WYT","35","51.769 N 1.3291 W",2013-10-22
"day7_C3.WYT35.4_021216DR515FSAM1-96f-pr_filt","day7_C3.WYT35.4","WYT35","WYT","35","51.769 N 1.3291 W",2013-10-22
"day7_C4.RDM01.1_021216DR515FSAM1-29-pr_filt","day7_C4.RDM01.1","RDM01","RDM","1","51.4098 N 0.6486 W",2013-09-25
"day7_C4.RDM01.2_021216DR515FSAM1-29-pr_filt","day7_C4.RDM01.2","RDM01","RDM","1","51.4098 N 0.6486 W",2013-09-25
"day7_C4.RDM01.3_021216DR515FSAM1-26-pr_filt","day7_C4.RDM01.3","RDM01","RDM","1","51.4098 N 0.6486 W",2013-09-25
"day7_C4.RDM01.4_021216DR515FSAM1-26-pr_filt","day7_C4.RDM01.4","RDM01","RDM","1","51.4098 N 0.6486 W",2013-09-25
"day7_C4.WF03.1_021216DR515FSAM1-91b-pr_filt","day7_C4.WF03.1","WF03","WF","3","51.4474 N 0.64 W",2013-10-21
"day7_C4.WF03.2_021216DR515FSAM1-91a-pr_filt","day7_C4.WF03.2","WF03","WF","3","51.4474 N 0.64 W",2013-10-21
"day7_C4.WF03.3_021216DR515FSAM1-91c-pr_filt","day7_C4.WF03.3","WF03","WF","3","51.4474 N 0.64 W",2013-10-21
"day7_C4.WiW27.1_021216DR515FSAM1-89a-pr_filt","day7_C4.WiW27.1","WiW27","WiW","27","51.4416 N 0.6009 W",2013-09-18
"day7_C4.WiW27.2_021216DR515FSAM1-89b-pr_filt","day7_C4.WiW27.2","WiW27","WiW","27","51.4416 N 0.6009 W",2013-09-18
"day7_C4.WiW27.3_021216DR515FSAM1-89c-pr_filt","day7_C4.WiW27.3","WiW27","WiW","27","51.4416 N 0.6009 W",2013-09-18
"day7_C4.WiW27.4_021216DR515FSAM1-42-pr_filt","day7_C4.WiW27.4","WiW27","WiW","27","51.4416 N 0.6009 W",2013-09-18
"day7_C4.WYT27.4_021216DR515FSAM1-92-pr_filt","day7_C4.WYT27.4","WYT27","WYT","27","51.7694 N 1.3297 W",2013-10-22
"day7_C5.WEL03.1_021216DR515FSAM1-18-pr_filt","day7_C5.WEL03.1","WEL03","WEL","3","50.9459 N 3.2072 W",2013-12-29
"day7_C5.WEL03.2_021216DR515FSAM1-88b-pr_filt","day7_C5.WEL03.2","WEL03","WEL","3","50.9459 N 3.2072 W",2013-12-29
"day7_C5.WEL03.3_021216DR515FSAM1-88c-pr_filt","day7_C5.WEL03.3","WEL03","WEL","3","50.9459 N 3.2072 W",2013-12-29
"day7_C5.WEL03.4_021216DR515FSAM1-88d-pr_filt","day7_C5.WEL03.4","WEL03","WEL","3","50.9459 N 3.2072 W",2013-12-29
"day7_C5.WiW35.1_021216DR515FSAM1-89a-pr_filt","day7_C5.WiW35.1","WiW35","WiW","35","51.4418 N 0.6018 W",2013-09-18
"day7_C5.WiW35.2_021216DR515FSAM1-89b-pr_filt","day7_C5.WiW35.2","WiW35","WiW","35","51.4418 N 0.6018 W",2013-09-18
"day7_C5.WiW35.3_021216DR515FSAM1-89c-pr_filt","day7_C5.WiW35.3","WiW35","WiW","35","51.4418 N 0.6018 W",2013-09-18
"day7_C5.WiW35.4_021216DR515FSAM1-89d-pr_filt","day7_C5.WiW35.4","WiW35","WiW","35","51.4418 N 0.6018 W",2013-09-18
"day7_C5.WYT03.1_021216DR515FSAM1-91b-pr_filt","day7_C5.WYT03.1","WYT03","WYT","3","51.7699 N 1.3299 W",2013-10-16
"day7_C5.WYT03.2_021216DR515FSAM1-8a-pr_filt","day7_C5.WYT03.2","WYT03","WYT","3","51.7699 N 1.3299 W",2013-10-16
"day7_C5.WYT03.3_021216DR515FSAM1-91c-pr_filt","day7_C5.WYT03.3","WYT03","WYT","3","51.7699 N 1.3299 W",2013-10-16
"day7_C5.WYT11.1_021216DR515FSAM1-96c-pr_filt","day7_C5.WYT11.1","WYT11","WYT","11","51.7673 N 1.3299 W",2013-10-16
"day7_C5.WYT11.2_021216DR515FSAM1-96d-pr_filt","day7_C5.WYT11.2","WYT11","WYT","11","51.7673 N 1.3299 W",2013-10-16
"day7_C5.WYT11.3_021216DR515FSAM1-96e-pr_filt","day7_C5.WYT11.3","WYT11","WYT","11","51.7673 N 1.3299 W",2013-10-16
"day7_C5.WYT116.4_021216DR515FSAM1-96f-pr_filt","day7_C5.WYT116.4","WYT116","WYT","116","51.772 N 1.3364 W",2013-10-25
"day7_C6.AE110.1_021216DR515FSAM1-96c-pr_filt","day7_C6.AE110.1","AE110","AE","110","51.79537 N 0.56065 W",2013-11-18
"day7_C6.AE110.2_021216DR515FSAM1-96d-pr_filt","day7_C6.AE110.2","AE110","AE","110","51.79537 N 0.56065 W",2013-11-18
"day7_C6.AE110.3_021216DR515FSAM1-96e-pr_filt","day7_C6.AE110.3","AE110","AE","110","51.79537 N 0.56065 W",2013-11-18
"day7_C6.AE110.4_021216DR515FSAM1-96f-pr_filt","day7_C6.AE110.4","AE110","AE","110","51.79537 N 0.56065 W",2013-11-18
"day7_C6.WEL11.1_021216DR515FSAM1-88a-pr_filt","day7_C6.WEL11.1","WEL11","WEL","11","50.9466 N 3.2077 W",2013-12-29
"day7_C6.WEL11.2_021216DR515FSAM1-88b-pr_filt","day7_C6.WEL11.2","WEL11","WEL","11","50.9466 N 3.2077 W",2013-12-29
"day7_C6.WEL11.3_021216DR515FSAM1-88c-pr_filt","day7_C6.WEL11.3","WEL11","WEL","11","50.9466 N 3.2077 W",2013-12-29
"day7_C6.WEL11.4_021216DR515FSAM1-88d-pr_filt","day7_C6.WEL11.4","WEL11","WEL","11","50.9466 N 3.2077 W",2013-12-29
"day7_C6.WiW43.1_021216DR515FSAM1-89a-pr_filt","day7_C6.WiW43.1","WiW43","WiW","43","51.4427 N 0.6017 W",2013-09-18
"day7_C6.WiW43.2_021216DR515FSAM1-89b-pr_filt","day7_C6.WiW43.2","WiW43","WiW","43","51.4427 N 0.6017 W",2013-09-18
"day7_C6.WiW43.3_021216DR515FSAM1-42-pr_filt","day7_C6.WiW43.3","WiW43","WiW","43","51.4427 N 0.6017 W",2013-09-18
"day7_C6.WiW43.4_021216DR515FSAM1-89d-pr_filt","day7_C6.WiW43.4","WiW43","WiW","43","51.4427 N 0.6017 W",2013-09-18
"day7_C6.WYT43.4_021216DR515FSAM1-92-pr_filt","day7_C6.WYT43.4","WYT43","WYT","43","51.7687 N 1.3285 W",2013-10-22
"day7_C7.CHE09.1_021216DR515FSAM1-96c-pr_filt","day7_C7.CHE09.1","CHE09","CHE","9","50.928 N 3.4796 W",2013-12-28
"day7_C7.CHE09.2_021216DR515FSAM1-96d-pr_filt","day7_C7.CHE09.2","CHE09","CHE","9","50.928 N 3.4796 W",2013-12-28
"day7_C7.CHE09.3_021216DR515FSAM1-26-pr_filt","day7_C7.CHE09.3","CHE09","CHE","9","50.928 N 3.4796 W",2013-12-28
"day7_C7.CHE09.4_021216DR515FSAM1-96f-pr_filt","day7_C7.CHE09.4","CHE09","CHE","9","50.928 N 3.4796 W",2013-12-28
"day7_C7.WEL19.1_021216DR515FSAM1-88a-pr_filt","day7_C7.WEL19.1","WEL19","WEL","19","50.9454 N 3.2104 W",2013-12-29
"day7_C7.WEL19.2_021216DR515FSAM1-88b-pr_filt","day7_C7.WEL19.2","WEL19","WEL","19","50.9454 N 3.2104 W",2013-12-29
"day7_C7.WEL19.3_021216DR515FSAM1-24-pr_filt","day7_C7.WEL19.3","WEL19","WEL","19","50.9454 N 3.2104 W",2013-12-29
"day7_C7.WEL19.4_021216DR515FSAM1-88d-pr_filt","day7_C7.WEL19.4","WEL19","WEL","19","50.9454 N 3.2104 W",2013-12-29
"day7_C7.WiW51.1_021216DR515FSAM1-89a-pr_filt","day7_C7.WiW51.1","WiW51","WiW","51","51.4425 N 0.5952 W",2013-09-18
"day7_C7.WiW51.2_021216DR515FSAM1-89b-pr_filt","day7_C7.WiW51.2","WiW51","WiW","51","51.4425 N 0.5952 W",2013-09-18
"day7_C7.WiW51.3_021216DR515FSAM1-89c-pr_filt","day7_C7.WiW51.3","WiW51","WiW","51","51.4425 N 0.5952 W",2013-09-18
"day7_C7.WiW51.4_021216DR515FSAM1-89d-pr_filt","day7_C7.WiW51.4","WiW51","WiW","51","51.4425 N 0.5952 W",2013-09-18
"day7_C7.WYT19.1_021216DR515FSAM1-91b-pr_filt","day7_C7.WYT19.1","WYT19","WYT","19","51.7697 N 1.3295 W",2013-10-22
"day7_C7.WYT19.2_021216DR515FSAM1-91a-pr_filt","day7_C7.WYT19.2","WYT19","WYT","19","51.7697 N 1.3295 W",2013-10-22
"day7_C7.WYT19.3_021216DR515FSAM1-91c-pr_filt","day7_C7.WYT19.3","WYT19","WYT","19","51.7697 N 1.3295 W",2013-10-22
"day7_C7.WYT51.4_021216DR515FSAM1-92-pr_filt","day7_C7.WYT51.4","WYT51","WYT","51","51.7684 N 1.3327 W",2013-10-22
"day7_C8.LW01.1_021216DR515FSAM1-88a-pr_filt","day7_C8.LW01.1","LW01","LW","1","51.4226 N 0.6406 W",2013-09-12
"day7_C8.LW01.2_021216DR515FSAM1-88b-pr_filt","day7_C8.LW01.2","LW01","LW","1","51.4226 N 0.6406 W",2013-09-12
"day7_C8.LW01.3_021216DR515FSAM1-88c-pr_filt","day7_C8.LW01.3","LW01","LW","1","51.4226 N 0.6406 W",2013-09-12
"day7_C8.LW01.4_021216DR515FSAM1-88d-pr_filt","day7_C8.LW01.4","LW01","LW","1","51.4226 N 0.6406 W",2013-09-12
"day7_C8.SP06.1_021216DR515FSAM1-96c-pr_filt","day7_C8.SP06.1","SP06","SP","6","51.412 N 0.6459 W",2013-09-11
"day7_C8.SP06.2_021216DR515FSAM1-96d-pr_filt","day7_C8.SP06.2","SP06","SP","6","51.412 N 0.6459 W",2013-09-11
"day7_C8.SP06.3_021216DR515FSAM1-96e-pr_filt","day7_C8.SP06.3","SP06","SP","6","51.412 N 0.6459 W",2013-09-11
"day7_C8.SP06.4_021216DR515FSAM1-96f-pr_filt","day7_C8.SP06.4","SP06","SP","6","51.412 N 0.6459 W",2013-09-11
"day7_C8.WYT27.1_021216DR515FSAM1-91b-pr_filt","day7_C8.WYT27.1","WYT27","WYT","27","51.7694 N 1.3297 W",2013-10-22
"day7_C8.WYT27.2_021216DR515FSAM1-91a-pr_filt","day7_C8.WYT27.2","WYT27","WYT","27","51.7694 N 1.3297 W",2013-10-22
"day7_C8.WYT27.3_021216DR515FSAM1-91c-pr_filt","day7_C8.WYT27.3","WYT27","WYT","27","51.7694 N 1.3297 W",2013-10-22
"day7_C8.WYT59.4_021216DR515FSAM1-92-pr_filt","day7_C8.WYT59.4","WYT59","WYT","59","51.7687 N 1.3358 W",2013-10-22
"day7_C9.AE116.1_021216DR515FSAM1-96c-pr_filt","day7_C9.AE116.1","AE116","AE","116","51.7962 N 0.5654 W",2013-11-21
"day7_C9.AE116.2_021216DR515FSAM1-96d-pr_filt","day7_C9.AE116.2","AE116","AE","116","51.7962 N 0.5654 W",2013-11-21
"day7_C9.AE116.3_021216DR515FSAM1-96e-pr_filt","day7_C9.AE116.3","AE116","AE","116","51.7962 N 0.5654 W",2013-11-21
"day7_C9.AE116.4_021216DR515FSAM1-26-pr_filt","day7_C9.AE116.4","AE116","AE","116","51.7962 N 0.5654 W",2013-11-21
"day7_C9.LW09.1_021216DR515FSAM1-88a-pr_filt","day7_C9.LW09.1","LW09","LW","9","51.4239 N 0.6403 W",2013-09-12
"day7_C9.LW09.2_021216DR515FSAM1-88b-pr_filt","day7_C9.LW09.2","LW09","LW","9","51.4239 N 0.6403 W",2013-09-12
"day7_C9.LW09.3_021216DR515FSAM1-88c-pr_filt","day7_C9.LW09.3","LW09","LW","9","51.4239 N 0.6403 W",2013-09-12
"day7_C9.LW09.4_021216DR515FSAM1-88d-pr_filt","day7_C9.LW09.4","LW09","LW","9","51.4239 N 0.6403 W",2013-09-12
"day7_C9.OWW03.4_021216DR515FSAM1-8b-pr_filt","day7_C9.OWW03.4","OWW03","OWW","3","51.4503 N 0.5946 W",2013-09-26
"day7_C9.WP03.1_021216DR515FSAM1-89a-pr_filt","day7_C9.WP03.1","WP03","WP","3","51.32235 N 0.615685 W",2013-11-28
"day7_C9.WP03.2_021216DR515FSAM1-89b-pr_filt","day7_C9.WP03.2","WP03","WP","3","51.32235 N 0.615685 W",2013-11-28
"day7_C9.WP03.3_021216DR515FSAM1-89c-pr_filt","day7_C9.WP03.3","WP03","WP","3","51.32235 N 0.615685 W",2013-11-28
"day7_C9.WP03.4_021216DR515FSAM1-89d-pr_filt","day7_C9.WP03.4","WP03","WP","3","51.32235 N 0.615685 W",2013-11-28
"day7_D1.BB04.1_021216DR515FSAM1-88a-pr_filt","day7_D1.BB04.1","BB04","BB","4","51.5575 N 0.6333 W",2013-08-20
"day7_D1.BB04.2_021216DR515FSAM1-88b-pr_filt","day7_D1.BB04.2","BB04","BB","4","51.5575 N 0.6333 W",2013-08-20
"day7_D1.BB04.3_021216DR515FSAM1-88c-pr_filt","day7_D1.BB04.3","BB04","BB","4","51.5575 N 0.6333 W",2013-08-20
"day7_D1.BB04.4_021216DR515FSAM1-88d-pr_filt","day7_D1.BB04.4","BB04","BB","4","51.5575 N 0.6333 W",2013-08-20
"day7_D1.BB13.1_021216DR515FSAM1-96c-pr_filt","day7_D1.BB13.1","BB13","BB","13","51.5595 N 0.6349 W",2013-08-20
"day7_D1.BB13.2_021216DR515FSAM1-96d-pr_filt","day7_D1.BB13.2","BB13","BB","13","51.5595 N 0.6349 W",2013-08-20
"day7_D1.BB13.3_021216DR515FSAM1-96e-pr_filt","day7_D1.BB13.3","BB13","BB","13","51.5595 N 0.6349 W",2013-08-20
"day7_D1.BB13.4_021216DR515FSAM1-96f-pr_filt","day7_D1.BB13.4","BB13","BB","13","51.5595 N 0.6349 W",2013-08-20
"day7_D1.OWW04.1_021216DR515FSAM1-91b-pr_filt","day7_D1.OWW04.1","OWW04","OWW","4","51.4502 N 0.5959 W",2013-09-26
"day7_D1.OWW04.2_021216DR515FSAM1-91a-pr_filt","day7_D1.OWW04.2","OWW04","OWW","4","51.4502 N 0.5959 W",2013-09-26
"day7_D1.OWW04.3_021216DR515FSAM1-91c-pr_filt","day7_D1.OWW04.3","OWW04","OWW","4","51.4502 N 0.5959 W",2013-09-26
"day7_D1.WiW04.1_021216DR515FSAM1-89a-pr_filt","day7_D1.WiW04.1","WiW04","WiW","4","51.4117 N 0.6208 W",2013-09-18
"day7_D1.WiW04.2_021216DR515FSAM1-89b-pr_filt","day7_D1.WiW04.2","WiW04","WiW","4","51.4117 N 0.6208 W",2013-09-18
"day7_D1.WiW04.3_021216DR515FSAM1-89c-pr_filt","day7_D1.WiW04.3","WiW04","WiW","4","51.4117 N 0.6208 W",2013-09-18
"day7_D1.WiW04.4_021216DR515FSAM1-89d-pr_filt","day7_D1.WiW04.4","WiW04","WiW","4","51.4117 N 0.6208 W",2013-09-18
"day7_D1.WYT04.4_021216DR515FSAM1-92-pr_filt","day7_D1.WYT04.4","WYT04","WYT","4","51.7664 N 1.3295 W",2013-10-16
"day7_D10.BB28.1_021216DR515FSAM1-96c-pr_filt","day7_D10.BB28.1","BB28","BB","28","51.5509 N 0.6322 W",2013-08-29
"day7_D10.BB28.2_021216DR515FSAM1-96d-pr_filt","day7_D10.BB28.2","BB28","BB","28","51.5509 N 0.6322 W",2013-08-29
"day7_D10.BB28.3_021216DR515FSAM1-96e-pr_filt","day7_D10.BB28.3","BB28","BB","28","51.5509 N 0.6322 W",2013-08-29
"day7_D10.BB28.4_021216DR515FSAM1-96f-pr_filt","day7_D10.BB28.4","BB28","BB","28","51.5509 N 0.6322 W",2013-08-29
"day7_D10.OWW12.4_021216DR515FSAM1-92-pr_filt","day7_D10.OWW12.4","OWW12","OWW","12","51.4497 N 0.5968 W",2013-09-26
"day7_D10.PH04.1_021216DR515FSAM1-88a-pr_filt","day7_D10.PH04.1","PH04","PH","4","51.5724 N 0.81085 W",2013-12-07
"day7_D10.PH04.2_021216DR515FSAM1-88b-pr_filt","day7_D10.PH04.2","PH04","PH","4","51.5724 N 0.81085 W",2013-12-07
"day7_D10.PH04.3_021216DR515FSAM1-88c-pr_filt","day7_D10.PH04.3","PH04","PH","4","51.5724 N 0.81085 W",2013-12-07
"day7_D10.PH04.4_021216DR515FSAM1-88d-pr_filt","day7_D10.PH04.4","PH04","PH","4","51.5724 N 0.81085 W",2013-12-07
"day7_D10.WP12.1_021216DR515FSAM1-89a-pr_filt","day7_D10.WP12.1","WP12","WP","12","51.323843 N 0.615964 W",2013-11-28
"day7_D10.WP12.2_021216DR515FSAM1-40-pr_filt","day7_D10.WP12.2","WP12","WP","12","51.323843 N 0.615964 W",2013-11-28
"day7_D10.WP12.3_021216DR515FSAM1-42-pr_filt","day7_D10.WP12.3","WP12","WP","12","51.323843 N 0.615964 W",2013-11-28
"day7_D10.WP12.4_021216DR515FSAM1-89d-pr_filt","day7_D10.WP12.4","WP12","WP","12","51.323843 N 0.615964 W",2013-11-28
"day7_D10.WYT44.1_021216DR515FSAM1-91b-pr_filt","day7_D10.WYT44.1","WYT44","WYT","44","51.7687 N 1.3285 W",2013-10-22
"day7_D10.WYT44.2_021216DR515FSAM1-91a-pr_filt","day7_D10.WYT44.2","WYT44","WYT","44","51.7687 N 1.3285 W",2013-10-22
"day7_D10.WYT44.3_021216DR515FSAM1-91c-pr_filt","day7_D10.WYT44.3","WYT44","WYT","44","51.7687 N 1.3285 W",2013-10-22
"day7_D11.BWd04.4_021216DR515FSAM1-92-pr_filt","day7_D11.BWd04.4","BWd04","BWd","4","51.1936 N 1.0689 W",2013-10-03
"day7_D11.PH12.1_021216DR515FSAM1-88a-pr_filt","day7_D11.PH12.1","PH12","PH","12","51.57187 N 0.81388 W",2013-12-07
"day7_D11.PH12.2_021216DR515FSAM1-88b-pr_filt","day7_D11.PH12.2","PH12","PH","12","51.57187 N 0.81388 W",2013-12-07
"day7_D11.PH12.3_021216DR515FSAM1-88c-pr_filt","day7_D11.PH12.3","PH12","PH","12","51.57187 N 0.81388 W",2013-12-07
"day7_D11.PH12.4_021216DR515FSAM1-88d-pr_filt","day7_D11.PH12.4","PH12","PH","12","51.57187 N 0.81388 W",2013-12-07
"day7_D11.SAC04.1_021216DR515FSAM1-89a-pr_filt","day7_D11.SAC04.1","SAC04","SAC","4","51.76896 N 0.34829 W",2013-12-03
"day7_D11.SAC04.2_021216DR515FSAM1-40-pr_filt","day7_D11.SAC04.2","SAC04","SAC","4","51.76896 N 0.34829 W",2013-12-03
"day7_D11.SAC04.3_021216DR515FSAM1-42-pr_filt","day7_D11.SAC04.3","SAC04","SAC","4","51.76896 N 0.34829 W",2013-12-03
"day7_D11.SAC04.4_021216DR515FSAM1-89d-pr_filt","day7_D11.SAC04.4","SAC04","SAC","4","51.76896 N 0.34829 W",2013-12-03
"day7_D11.WYC41.1_021216DR515FSAM1-96c-pr_filt","day7_D11.WYC41.1","WYC41","WYC","41","51.7685 N 1.336 W",2013-10-22
"day7_D11.WYC41.2_021216DR515FSAM1-96d-pr_filt","day7_D11.WYC41.2","WYC41","WYC","41","51.7685 N 1.336 W",2013-10-22
"day7_D11.WYC41.3_021216DR515FSAM1-96e-pr_filt","day7_D11.WYC41.3","WYC41","WYC","41","51.7685 N 1.336 W",2013-10-22
"day7_D11.WYC41.4_021216DR515FSAM1-96f-pr_filt","day7_D11.WYC41.4","WYC41","WYC","41","51.7685 N 1.336 W",2013-10-22
"day7_D11.WYT52.1_021216DR515FSAM1-91b-pr_filt","day7_D11.WYT52.1","WYT52","WYT","52","51.7684 N 1.3327 W",2013-10-22
"day7_D11.WYT52.2_021216DR515FSAM1-91a-pr_filt","day7_D11.WYT52.2","WYT52","WYT","52","51.7684 N 1.3327 W",2013-10-22
"day7_D11.WYT52.3_021216DR515FSAM1-91c-pr_filt","day7_D11.WYT52.3","WYT52","WYT","52","51.7684 N 1.3327 W",2013-10-22
"day7_D12.AE75.1_021216DR515FSAM1-96c-pr_filt","day7_D12.AE75.1","AE75","AE","75","51.79052 N 0.55762 W",2013-11-18
"day7_D12.AE75.2_021216DR515FSAM1-96d-pr_filt","day7_D12.AE75.2","AE75","AE","75","51.79052 N 0.55762 W",2013-11-18
"day7_D12.AE75.3_021216DR515FSAM1-96e-pr_filt","day7_D12.AE75.3","AE75","AE","75","51.79052 N 0.55762 W",2013-11-18
"day7_D12.AE75.4_021216DR515FSAM1-96f-pr_filt","day7_D12.AE75.4","AE75","AE","75","51.79052 N 0.55762 W",2013-11-18
"day7_D12.BB22.01.Iso_021216DR515FSAM1-96b-pr_filt","day7_D12.BB22.01.Iso","BB22","BB","22","51.5595 N 0.6372 W",2013-08-20
"day7_D12.PH20.1_021216DR515FSAM1-88a-pr_filt","day7_D12.PH20.1","PH20","PH","20","51.56965 N 0.81288 W",2013-12-07
"day7_D12.PH20.2_021216DR515FSAM1-88b-pr_filt","day7_D12.PH20.2","PH20","PH","20","51.56965 N 0.81288 W",2013-12-07
"day7_D12.PH20.3_021216DR515FSAM1-88c-pr_filt","day7_D12.PH20.3","PH20","PH","20","51.56965 N 0.81288 W",2013-12-07
"day7_D12.PH20.4_021216DR515FSAM1-88d-pr_filt","day7_D12.PH20.4","PH20","PH","20","51.56965 N 0.81288 W",2013-12-07
"day7_D12.SAC12.1_021216DR515FSAM1-40-pr_filt","day7_D12.SAC12.1","SAC12","SAC","12","51.76921 N 0.34959 W",2013-12-03
"day7_D12.SAC12.2_021216DR515FSAM1-40-pr_filt","day7_D12.SAC12.2","SAC12","SAC","12","51.76921 N 0.34959 W",2013-12-03
"day7_D12.SAC12.3_021216DR515FSAM1-42-pr_filt","day7_D12.SAC12.3","SAC12","SAC","12","51.76921 N 0.34959 W",2013-12-03
"day7_D12.SAC12.4_021216DR515FSAM1-42-pr_filt","day7_D12.SAC12.4","SAC12","SAC","12","51.76921 N 0.34959 W",2013-12-03
"day7_D12.WF04.4_021216DR515FSAM1-92-pr_filt","day7_D12.WF04.4","WF04","WF","4","51.4473 N 0.6383 W",2013-10-21
"day7_D12.WYT60.1_021216DR515FSAM1-91b-pr_filt","day7_D12.WYT60.1","WYT60","WYT","60","51.7686 N 1.3358 W",2013-10-22
"day7_D12.WYT60.2_021216DR515FSAM1-91a-pr_filt","day7_D12.WYT60.2","WYT60","WYT","60","51.7686 N 1.3358 W",2013-10-22
"day7_D12.WYT60.3_021216DR515FSAM1-91c-pr_filt","day7_D12.WYT60.3","WYT60","WYT","60","51.7686 N 1.3358 W",2013-10-22
"day7_D2.BB12.1_021216DR515FSAM1-88a-pr_filt","day7_D2.BB12.1","BB12","BB","12","51.559 N 0.6349 W",2013-08-20
"day7_D2.BB12.2_021216DR515FSAM1-88b-pr_filt","day7_D2.BB12.2","BB12","BB","12","51.559 N 0.6349 W",2013-08-20
"day7_D2.BB12.3_021216DR515FSAM1-88c-pr_filt","day7_D2.BB12.3","BB12","BB","12","51.559 N 0.6349 W",2013-08-20
"day7_D2.BB12.4_021216DR515FSAM1-88d-pr_filt","day7_D2.BB12.4","BB12","BB","12","51.559 N 0.6349 W",2013-08-20
"day7_D2.OWW12.1_021216DR515FSAM1-91b-pr_filt","day7_D2.OWW12.1","OWW12","OWW","12","51.4497 N 0.5968 W",2013-09-26
"day7_D2.OWW12.2_021216DR515FSAM1-8a-pr_filt","day7_D2.OWW12.2","OWW12","OWW","12","51.4497 N 0.5968 W",2013-09-26
"day7_D2.OWW12.3_021216DR515FSAM1-91c-pr_filt","day7_D2.OWW12.3","OWW12","OWW","12","51.4497 N 0.5968 W",2013-09-26
