"sample_name","library_ID","community","site","treehole_number_site","latlong","collection_date"
"day0_A10.AE152_052214DR16s-Sam551-625-pr_filt","day0_A10.AE152","AE152","AE","152","51.79692 N 0.56276 W",2013-11-21
"day0_A10.AE25_052214DR16s-Sam161-240-pr_filt","day0_A10.AE25","AE25","AE","25","51.78573 N 0.55218 W",2013-10-30
"day0_A10.WF01_052214DR16s-Sam321-400-pr_filt","day0_A10.WF01","WF01","WF","1","51.4503 N 0.6338 W",2013-10-21
"day0_A10.WiW09_052214DR16s-Sam1-80-pr_filt","day0_A10.WiW09","WiW09","WiW","9","51.4378 N 0.5995 W",2013-09-18
"day0_A10.WiW41_052214DR16s-Sam701-775-pr_filt","day0_A10.WiW41","WiW41","WiW","41","51.4427 N 0.6017 W",2013-09-18
"day0_A10.WYM09_052214DR16s-Sam401-475-pr_filt","day0_A10.WYM09","WYM09","WYM","9","51.7693 N 1.3297 W",2013-10-22
"day0_A10.WYT87_052214DR16s-Sam626-700-pr_filt","day0_A10.WYT87","WYT87","WYT","87","51.7725 N 1.337 W",2013-10-25
"day0_A11.AE09_052214DR16s-Sam476-550_filt","day0_A11.AE09","AE09","AE","9","51.7864 N 0.55172 W",2013-10-30
"day0_A11.AE128_052214DR16s-Sam851-925-pr_filt","day0_A11.AE128","AE128","AE","128","51.7981 N 0.56321 W",2013-11-21
"day0_A11.AE160_052214DR16s-Sam551-625-pr_filt","day0_A11.AE160","AE160","AE","160","51.79536 N 0.56172 W",2013-11-21
"day0_A11.AE33_052214DR16s-Sam161-240-pr_filt","day0_A11.AE33","AE33","AE","33","51.7852 N 0.55218 W",2013-10-30
"day0_A11.AE73_052214DR16s-Sam776-850-pr_filt","day0_A11.AE73","AE73","AE","73","51.79066 N 0.5573 W",2013-11-18
"day0_A11.BWd01_052214DR16s-Sam321-400-pr_filt","day0_A11.BWd01","BWd01","BWd","1","51.1936 N 1.0689 W",2013-10-03
"day0_A11.WiW49_052214DR16s-Sam626-700-pr_filt","day0_A11.WiW49","WiW49","WiW","49","51.43 N 0.5944 W",2013-09-18
"day0_A11.WYC01_052214DR16s-SAM81-160-pr_filt","day0_A11.WYC01","WYC01","WYC","1","51.7698 N 1.3294 W",2013-10-22
"day0_A12.AE136_052214DR16s-Sam851-925-pr_filt","day0_A12.AE136","AE136","AE","136","51.79748 N 0.56289 W",2013-11-21
"day0_A12.AE168_052214DR16s-Sam551-625-pr_filt","day0_A12.AE168","AE168","AE","168","51.79558 N 0.56133 W",2013-11-21
"day0_A12.AE41_052214DR16s-Sam161-240-pr_filt","day0_A12.AE41","AE41","AE","41","51.78555 N 0.55156 W",2013-10-30
"day0_A12.AE81_052214DR16s-Sam776-850-pr_filt","day0_A12.AE81","AE81","AE","81","51.79037 N 0.55803 W",2013-11-18
"day0_A12.LW01_052214DR16s-Sam321-400-pr_filt","day0_A12.LW01","LW01","LW","1","51.4226 N 0.6406 W",2013-09-12
"day0_A12.WP09_052214DR16s-SAM81-160-pr_filt","day0_A12.WP09","WP09","WP","9","51.324101 N 0.615783 W",2013-11-28
"day0_A12.WYM17_052214DR16s-Sam626-700-pr_filt","day0_A12.WYM17","WYM17","WYM","17","51.7687 N 1.3285 W",2013-10-22
"day0_A12.WYT17_052214DR16s-Sam476-550_filt","day0_A12.WYT17","WYT17","WYT","17","51.7697 N 1.3295 W",2013-10-22
