sampleid	Name.2	Community	Species	replicate	BreakingBag	parent	Location	Experiment
WEL14.1	NA	NA	NA	1	NA	WEL14	CombeHill	7D_rep1
WEL14.2	NA	NA	NA	2	NA	WEL14	CombeHill	7D_rep2
WEL14.3	NA	NA	NA	3	NA	WEL14	CombeHill	7D_rep3
WEL14.4	NA	NA	NA	4	NA	WEL14	CombeHill	7D_rep4
WEL15.1	NA	NA	NA	1	NA	WEL15	CombeHill	7D_rep1
WEL15.2	NA	NA	NA	2	NA	WEL15	CombeHill	7D_rep2
WEL15.3	NA	NA	NA	3	NA	WEL15	CombeHill	7D_rep3
WEL15.4	NA	NA	NA	4	NA	WEL15	CombeHill	7D_rep4
WEL16.1	NA	NA	NA	1	NA	WEL16	CombeHill	7D_rep1
WEL16.2	NA	NA	NA	2	NA	WEL16	CombeHill	7D_rep2
WEL16.3	NA	NA	NA	3	NA	WEL16	CombeHill	7D_rep3
WEL16.4	NA	NA	NA	4	NA	WEL16	CombeHill	7D_rep4
WEL17.1	NA	NA	NA	1	NA	WEL17	CombeHill	7D_rep1
WEL17.2	NA	NA	NA	2	NA	WEL17	CombeHill	7D_rep2
WEL17.3	NA	NA	NA	3	NA	WEL17	CombeHill	7D_rep3
WEL17.4	NA	NA	NA	4	NA	WEL17	CombeHill	7D_rep4
WEL18.1	NA	NA	NA	1	NA	WEL18	CombeHill	7D_rep1
WEL18.2	NA	NA	NA	2	NA	WEL18	CombeHill	7D_rep2
WEL18.3	NA	NA	NA	3	NA	WEL18	CombeHill	7D_rep3
WEL18.4	NA	NA	NA	4	NA	WEL18	CombeHill	7D_rep4
WEL19.1	NA	NA	NA	1	NA	WEL19	CombeHill	7D_rep1
WEL19.2	NA	NA	NA	2	NA	WEL19	CombeHill	7D_rep2
WEL19.3	NA	NA	NA	3	NA	WEL19	CombeHill	7D_rep3
WEL19.4	NA	NA	NA	4	NA	WEL19	CombeHill	7D_rep4
WEL20.1	NA	NA	NA	1	NA	WEL20	CombeHill	7D_rep1
WEL20.2	NA	NA	NA	2	NA	WEL20	CombeHill	7D_rep2
WEL20.3	NA	NA	NA	3	NA	WEL20	CombeHill	7D_rep3
WEL20.4	NA	NA	NA	4	NA	WEL20	CombeHill	7D_rep4
WEL21.1	NA	NA	NA	1	NA	WEL21	CombeHill	7D_rep1
WEL21.2	NA	NA	NA	2	NA	WEL21	CombeHill	7D_rep2
WEL21.3	NA	NA	NA	3	NA	WEL21	CombeHill	7D_rep3
WEL21.4	NA	NA	NA	4	NA	WEL21	CombeHill	7D_rep4
WEL22.1	NA	NA	NA	1	NA	WEL22	CombeHill	7D_rep1
WEL22.2	NA	NA	NA	2	NA	WEL22	CombeHill	7D_rep2
WEL22.3	NA	NA	NA	3	NA	WEL22	CombeHill	7D_rep3
WEL22.4	NA	NA	NA	4	NA	WEL22	CombeHill	7D_rep4
WEL23.1	NA	NA	NA	1	NA	WEL23	CombeHill	7D_rep1
WEL23.2	NA	NA	NA	2	NA	WEL23	CombeHill	7D_rep2
WEL23.3	NA	NA	NA	3	NA	WEL23	CombeHill	7D_rep3
WEL23.4	NA	NA	NA	4	NA	WEL23	CombeHill	7D_rep4
WEL24.1	NA	NA	NA	1	NA	WEL24	CombeHill	7D_rep1
WEL24.2	NA	NA	NA	2	NA	WEL24	CombeHill	7D_rep2
WEL24.3	NA	NA	NA	3	NA	WEL24	CombeHill	7D_rep3
WEL24.4	NA	NA	NA	4	NA	WEL24	CombeHill	7D_rep4
WEL25.1	NA	NA	NA	1	NA	WEL25	CombeHill	7D_rep1
WEL25.2	NA	NA	NA	2	NA	WEL25	CombeHill	7D_rep2
WEL25.3	NA	NA	NA	3	NA	WEL25	CombeHill	7D_rep3
WEL25.4	NA	NA	NA	4	NA	WEL25	CombeHill	7D_rep4
WEL26.1	NA	NA	NA	1	NA	WEL26	CombeHill	7D_rep1
WEL26.2	NA	NA	NA	2	NA	WEL26	CombeHill	7D_rep2
WEL26.3	NA	NA	NA	3	NA	WEL26	CombeHill	7D_rep3
WEL26.4	NA	NA	NA	4	NA	WEL26	CombeHill	7D_rep4
WF01.1	NA	NA	NA	1	NA	WF01	WindsorForest	7D_rep1
WF01.2	NA	NA	NA	2	NA	WF01	WindsorForest	7D_rep2
WF01.3	NA	NA	NA	3	NA	WF01	WindsorForest	7D_rep3
WF01.4	NA	NA	NA	4	NA	WF01	WindsorForest	7D_rep4
WF02.1	NA	NA	NA	1	NA	WF02	WindsorForest	7D_rep1
WF02.2	NA	NA	NA	2	NA	WF02	WindsorForest	7D_rep2
WF02.3	NA	NA	NA	3	NA	WF02	WindsorForest	7D_rep3
WF02.4	NA	NA	NA	4	NA	WF02	WindsorForest	7D_rep4
WF03.1	NA	NA	NA	1	NA	WF03	WindsorForest	7D_rep1
WF03.2	NA	NA	NA	2	NA	WF03	WindsorForest	7D_rep2
WF03.3	NA	NA	NA	3	NA	WF03	WindsorForest	7D_rep3
WF03.4	NA	NA	NA	4	NA	WF03	WindsorForest	7D_rep4
WF04.1	NA	NA	NA	1	NA	WF04	WindsorForest	7D_rep1
WF04.2	NA	NA	NA	2	NA	WF04	WindsorForest	7D_rep2
WF04.3	NA	NA	NA	3	NA	WF04	WindsorForest	7D_rep3
WF04.4	NA	NA	NA	4	NA	WF04	WindsorForest	7D_rep4
WF05.1	NA	NA	NA	1	NA	WF05	WindsorForest	7D_rep1
WF05.2	NA	NA	NA	2	NA	WF05	WindsorForest	7D_rep2
WF05.3	NA	NA	NA	3	NA	WF05	WindsorForest	7D_rep3
WF05.4	NA	NA	NA	4	NA	WF05	WindsorForest	7D_rep4
WF06.1	NA	NA	NA	1	NA	WF06	WindsorForest	7D_rep1
WF06.2	NA	NA	NA	2	NA	WF06	WindsorForest	7D_rep2
WF06.3	NA	NA	NA	3	NA	WF06	WindsorForest	7D_rep3
WF06.4	NA	NA	NA	4	NA	WF06	WindsorForest	7D_rep4
WF07.1	NA	NA	NA	1	NA	WF07	WindsorForest	7D_rep1
WF07.2	NA	NA	NA	2	NA	WF07	WindsorForest	7D_rep2
WF07.3	NA	NA	NA	3	NA	WF07	WindsorForest	7D_rep3
WF07.4	NA	NA	NA	4	NA	WF07	WindsorForest	7D_rep4
WiW01.1	NA	NA	NA	1	NA	WiW01	GreenbroomCovert	7D_rep1
WiW01.2	NA	NA	NA	2	NA	WiW01	GreenbroomCovert	7D_rep2
WiW01.3	NA	NA	NA	3	NA	WiW01	GreenbroomCovert	7D_rep3
WiW01.4	NA	NA	NA	4	NA	WiW01	GreenbroomCovert	7D_rep4
WiW02.1	NA	NA	NA	1	NA	WiW02	GreenbroomCovert	7D_rep1
WiW02.2	NA	NA	NA	2	NA	WiW02	GreenbroomCovert	7D_rep2
WiW02.3	NA	NA	NA	3	NA	WiW02	GreenbroomCovert	7D_rep3
WiW02.4	NA	NA	NA	4	NA	WiW02	GreenbroomCovert	7D_rep4
WiW03.1	NA	NA	NA	1	NA	WiW03	GreenbroomCovert	7D_rep1
WiW03.2	NA	NA	NA	2	NA	WiW03	GreenbroomCovert	7D_rep2
WiW03.3	NA	NA	NA	3	NA	WiW03	GreenbroomCovert	7D_rep3
