sampleid,parent,replicate,replicate.partition,partition,Location,Time
AE85,AE85,0,0.3,3,AshridgeEstate,Starting
AE86,AE86,0,0.5,5,AshridgeEstate,Starting
AE87,AE87,0,0.3,3,AshridgeEstate,Starting
AE88,AE88,0,0.1,1,AshridgeEstate,Starting
AE89,AE89,0,0.3,3,AshridgeEstate,Starting
AE90,AE90,0,0.3,3,AshridgeEstate,Starting
AE91,AE91,0,0.5,5,AshridgeEstate,Starting
AE94,AE94,0,0.5,5,AshridgeEstate,Starting
AE96,AE96,0,0.3,3,AshridgeEstate,Starting
AE99,AE99,0,0.1,1,AshridgeEstate,Starting
BB02,BB02,0,0.4,4,BurhamBeeches,Starting
BB02.1,BB02,1,1.1,1,BurhamBeeches,Final
BB02.2,BB02,2,2.1,1,BurhamBeeches,Final
BB02.3,BB02,3,3.1,1,BurhamBeeches,Final
BB02.4,BB02,4,4.1,1,BurhamBeeches,Final
BB04,BB04,0,0.5,5,BurhamBeeches,Starting
BB04.1,BB04,1,1.1,1,BurhamBeeches,Final
BB04.2,BB04,2,2.1,1,BurhamBeeches,Final
BB04.3,BB04,3,3.1,1,BurhamBeeches,Final
BB04.4,BB04,4,4.1,1,BurhamBeeches,Final
BB05,BB05,0,0.1,1,BurhamBeeches,Starting
BB05.1,BB05,1,1.1,1,BurhamBeeches,Final
BB05.2,BB05,2,2.1,1,BurhamBeeches,Final
BB05.3,BB05,3,3.2,2,BurhamBeeches,Final
BB05.4,BB05,4,4.1,1,BurhamBeeches,Final
BB06,BB06,0,0.3,3,BurhamBeeches,Starting
BB06.1,BB06,1,1.1,1,BurhamBeeches,Final
BB06.2,BB06,2,2.1,1,BurhamBeeches,Final
BB06.3,BB06,3,3.1,1,BurhamBeeches,Final
BB06.4,BB06,4,4.1,1,BurhamBeeches,Final
BB07,BB07,0,0.3,3,BurhamBeeches,Starting
BB07.1,BB07,1,1.2,2,BurhamBeeches,Final
BB07.2,BB07,2,2.2,2,BurhamBeeches,Final
BB07.3,BB07,3,3.2,2,BurhamBeeches,Final
BB07.4,BB07,4,4.2,2,BurhamBeeches,Final
BB08,BB08,0,0.2,2,BurhamBeeches,Starting
BB08.1,BB08,1,1.1,1,BurhamBeeches,Final
BB08.2,BB08,2,2.1,1,BurhamBeeches,Final
BB08.3,BB08,3,3.1,1,BurhamBeeches,Final
BB08.4,BB08,4,4.1,1,BurhamBeeches,Final
