"","filename","community","day","rep","seq.run","well"
"81","day0_A09.WYT79_052214DR16s-Sam626-700-pr_filt.fastq.gz","WYT79",0,NA,"052214DR16s","A09"
"82","day0_A1.KF.E1_052214DR16s-Sam851-925-pr_filt.fastq.gz","KF",0,NA,"052214DR16s","A1"
"83","day0_A10.AE120_052214DR16s-Sam851-925-pr_filt.fastq.gz","AE120",0,NA,"052214DR16s","A10"
"84","day0_A10.AE152_052214DR16s-Sam551-625-pr_filt.fastq.gz","AE152",0,NA,"052214DR16s","A10"
"85","day0_A10.AE25_052214DR16s-Sam161-240-pr_filt.fastq.gz","AE25",0,NA,"052214DR16s","A10"
"86","day0_A10.BB22c_052214DR16s-Sam241-320-pr_filt.fastq.gz","BB22c",0,NA,"052214DR16s","A10"
"87","day0_A10.MU.E8_052214DR16s-Sam926-1000-pr_filt.fastq.gz","MU",0,NA,"052214DR16s","A10"
"88","day0_A10.WF01_052214DR16s-Sam321-400-pr_filt.fastq.gz","WF01",0,NA,"052214DR16s","A10"
"89","day0_A10.WiW09_052214DR16s-Sam1-80-pr_filt.fastq.gz","WiW09",0,NA,"052214DR16s","A10"
"90","day0_A10.WiW41_052214DR16s-Sam701-775-pr_filt.fastq.gz","WiW41",0,NA,"052214DR16s","A10"
"91","day0_A10.WYM09_052214DR16s-Sam401-475-pr_filt.fastq.gz","WYM09",0,NA,"052214DR16s","A10"
"92","day0_A10.WYT87_052214DR16s-Sam626-700-pr_filt.fastq.gz","WYT87",0,NA,"052214DR16s","A10"
"93","day0_A11.AE09_052214DR16s-Sam476-550_filt.fastq.gz","AE09",0,NA,"052214DR16s","A11"
"94","day0_A11.AE128_052214DR16s-Sam851-925-pr_filt.fastq.gz","AE128",0,NA,"052214DR16s","A11"
"95","day0_A11.AE148c_052214DR16s-Sam241-320-pr_filt.fastq.gz","AE148c",0,NA,"052214DR16s","A11"
"96","day0_A11.AE160_052214DR16s-Sam551-625-pr_filt.fastq.gz","AE160",0,NA,"052214DR16s","A11"
"97","day0_A11.AE33_052214DR16s-Sam161-240-pr_filt.fastq.gz","AE33",0,NA,"052214DR16s","A11"
"98","day0_A11.AE73_052214DR16s-Sam776-850-pr_filt.fastq.gz","AE73",0,NA,"052214DR16s","A11"
"99","day0_A11.BWd01_052214DR16s-Sam321-400-pr_filt.fastq.gz","BWd01",0,NA,"052214DR16s","A11"
"100","day0_A11.PU.C8_052214DR16s-Sam926-1000-pr_filt.fastq.gz","PU",0,NA,"052214DR16s","A11"
"101","day0_A11.WiW49_052214DR16s-Sam626-700-pr_filt.fastq.gz","WiW49",0,NA,"052214DR16s","A11"
"102","day0_A11.WYC01_052214DR16s-SAM81-160-pr_filt.fastq.gz","WYC01",0,NA,"052214DR16s","A11"
