sample	Centroid1.1	Centroid1.2	maxDistToC	minDistToC	meanDistToC	diffDistToC	diffDistRelToC	id.DmaxToC	id.DminToC	maxDistToBdC1.1	minDistToBdC1.1	meanDistToBdC1.1	diffDistToBdC1.1	diffDistRelToBdC1.1	id.DmaxToBdC1.1	id.DminToBdC1.1	maxDistToBdC1.2	minDistToBdC1.2	meanDistToBdC1.2	diffDistToBdC1.2	diffDistRelToBdC1.2	id.DmaxToBdC1.2	id.DminToBdC1.2	maxDistToBd	minDistToBd	meanDistToBd	diffDistToBd	diffRelDistToBd	id.minDistToBd	id.maxDistToBd	id.class.minDistToBd	id.class.maxDistToBd	Nsame.class	Class
WiW16	0.633895585996106	0.796670595606736	0.796670595606736	0.633895585996106	0.715283090801421	0.16277500961063	0.227567255124475	Centroid1.2	Centroid1.1	0.825731326570549	0.386351978613424	0.706499782214759	0.439379347957125	0.621910096815237	WEL12.1	WiW16.1	0.827904616443972	0.672153045804247	0.794227348255723	0.155751570639725	0.196104517153413	WEL23.1	CHE13.1	0.672153045804247	0.386351978613424	0.529252512208836	0.285801067190823	0.739742729457558	WiW16.1	CHE13.1	C1	C2	3	1
WiW17	0.655217606540439	0.78992966316784	0.78992966316784	0.655217606540439	0.72257363485414	0.134712056627401	0.186433672818127	Centroid1.2	Centroid1.1	0.828051406152867	0.376635307026544	0.713710222797434	0.451416099126322	0.632492130149079	WEL15.1	WiW17.1	0.824479017076509	0.649626612034789	0.788373898559432	0.17485240504172	0.221788678393871	AE148.1	PH05.1	0.649626612034789	0.376635307026544	0.513130959530666	0.272991305008245	0.724816022065093	WiW17.1	PH05.1	C1	C2	3	1
WiW18	0.6035576476184	0.753866362843581	0.753866362843581	0.6035576476184	0.67871200523099	0.150308715225181	0.221461701084874	Centroid1.2	Centroid1.1	0.818743107120075	0.511785874331079	0.697751589116382	0.306957232788996	0.439923373270593	BB88.1	WYM39.1	0.823755242212707	0.664766646755321	0.771964680659297	0.158988595457386	0.205953198948949	AE148.1	PH09.1	0.664766646755321	0.511785874331079	0.5882762605432	0.152980772424242	0.298915581881178	WYM39.1	PH09.1	C1	C2	2	none
WiW19	0.638497213148743	0.782965527271406	0.782965527271406	0.638497213148743	0.710731370210074	0.144468314122663	0.203267113536809	Centroid1.2	Centroid1.1	0.816192882863904	0.546877925786314	0.707662201782505	0.269314957077589	0.380569933506723	BB88.1	WiW19.1	0.823619209854324	0.7004143564742	0.782113519403415	0.123204853380124	0.157528095760451	AE148.1	WiW18.1	0.7004143564742	0.546877925786314	0.623646141130257	0.153536430687885	0.280750828381172	WiW19.1	WiW18.1	C1	C2	3	1
WiW20	0.757818163225886	0.810843411942626	0.810843411942626	0.757818163225886	0.784330787584256	0.0530252487167397	0.0676057214074917	Centroid1.2	Centroid1.1	0.828724237837678	0.429912547550341	0.779901438618317	0.398811690287338	0.511361654869976	WEL15.1	WiW20.1	0.827644715493763	0.711002170388249	0.810834139926142	0.116642545105514	0.143854999884611	WEL23.1	CHE13.1	0.711002170388249	0.429912547550341	0.570457358969295	0.281089622837909	0.653829771751415	WiW20.1	CHE13.1	C1	C2	3	1
WiW21	0.656757997594199	0.797607948167127	0.797607948167127	0.656757997594199	0.727182972880663	0.140849950572928	0.193692586083205	Centroid1.2	Centroid1.1	0.823873902036943	0.385180079407211	0.727008587788942	0.438693822629733	0.603423164455232	WEL10.1	SAC08.1	0.826156247917011	0.543951589318218	0.796800075728071	0.282204658598793	0.354172479641057	AE148.1	PH05.1	0.543951589318218	0.385180079407211	0.464565834362715	0.158771509911008	0.412200729994541	SAC08.1	PH05.1	C1	C2	3	1
WiW23	0.727480997337402	0.785768457084323	0.785768457084323	0.727480997337402	0.756624727210863	0.0582874597469213	0.0770361549797423	Centroid1.2	Centroid1.1	0.818186140637333	0.281887209539917	0.76136934034134	0.536298931097416	0.704387348795763	WEL15.1	WiW23.1	0.823210533531058	0.682775518058444	0.795685699925748	0.140435015472614	0.176495588001291	AE148.1	CHE03.1	0.682775518058444	0.281887209539917	0.482331363799181	0.400888308518527	1.42215856183343	WiW23.1	CHE03.1	C1	C2	3	1
WiW24	0.688132991543165	0.793418278181245	0.793418278181245	0.688132991543165	0.740775634862205	0.105285286638079	0.142128441707811	Centroid1.2	Centroid1.1	0.824977400732974	0.379475644547781	0.738723700281378	0.445501756185192	0.603069531971835	WEL15.1	WiW24.1	0.826836545092485	0.715094948790553	0.797136922039623	0.111741596301933	0.140178673465559	WEL23.1	PH05.1	0.715094948790553	0.379475644547781	0.547285296669167	0.335619304242771	0.884429103856524	WiW24.1	PH05.1	C1	C2	3	1
WiW25	0.638449780715655	0.784682630122013	0.784682630122013	0.638449780715655	0.711566205418834	0.146232849406358	0.205508423942484	Centroid1.2	Centroid1.1	0.819228112583743	0.481801306959583	0.707639593229811	0.33742680562416	0.476834265426099	BB88.1	WiW25.1	0.825337100352415	0.684135516379841	0.790600765470676	0.141201583972575	0.178600363343326	AE148.1	CHE13.1	0.684135516379841	0.481801306959583	0.582968411669712	0.202334209420258	0.419953633370346	WiW25.1	CHE13.1	C1	C2	3	1
WiW26	0.768575934550584	0.809487568013187	0.809487568013187	0.768575934550584	0.789031751281886	0.0409116334626023	0.0518504273068048	Centroid1.2	Centroid1.1	0.827869184690275	0.325693986501336	0.779972748724084	0.50217519818894	0.643836850723851	WEL13.1	WiW26.1	0.8291620570666	0.772091207542301	0.816647650025257	0.0570708495242992	0.069884300190583	PH15.1	BB29.1	0.772091207542301	0.325693986501336	0.548892597021818	0.446397221040965	1.37060320282928	WiW26.1	BB29.1	C1	C2	4	1
