id.DminToC	id.DminToBdC3.1	id.DminToBdC3.2	id.minDistToBd	id.class.minDistToBd	Class
Centroid3.1	WYT35.3	BB32.3	WYT35.3	C1	1
Centroid3.1	WF07.3	CHE04.3	WF07.3	C1	1
Centroid3.1	WYT60.3	CHE04.3	WYT60.3	C1	1
Centroid3.1	WiW02.3	SP01.3	WiW02.3	C1	1
Centroid3.1	WiW03.3	WiW41.3	WiW03.3	C1	1
Centroid3.1	WiW04.3	CHE04.3	WiW04.3	C1	1
Centroid3.1	WiW05.3	BB32.3	WiW05.3	C1	1
Centroid3.1	WiW06.3	BB32.3	WiW06.3	C1	1
Centroid3.1	WiW07.3	AE116.3	AE116.3	C2	1
Centroid3.1	BWd08.3	BB32.3	BWd08.3	C1	1
Centroid3.1	WYM02.3	CHE04.3	WYM02.3	C1	1
Centroid3.1	AE103.3	CHE09.3	AE103.3	C1	1
Centroid3.1	WYT38.3	BB26.3	WYT38.3	C1	1
Centroid3.1	WiW14.3	CHE12.3	WiW14.3	C1	1
Centroid3.1	WiW15.3	CHE04.3	WiW15.3	C1	1
Centroid3.1	WiW20.3	WiW42.3	WiW20.3	C1	1
Centroid3.1	WiW17.3	BB32.3	WiW17.3	C1	1
Centroid3.1	WYM39.3	BB05.3	WYM39.3	C1	none
Centroid3.1	WiW19.3	SAC06.3	WiW19.3	C1	1
Centroid3.1	WiW20.3	CHE13.3	WiW20.3	C1	1
Centroid3.1	WiW21.3	BB32.3	WiW21.3	C1	1
Centroid3.1	WiW23.3	CHE03.3	WiW23.3	C1	1
Centroid3.1	WiW24.3	CHE04.3	WiW24.3	C1	1
Centroid3.1	WiW25.3	WiW41.3	WiW25.3	C1	1
Centroid3.1	WiW26.3	WiW46.3	WiW26.3	C1	1
Centroid3.1	WiW33.3	BB32.3	WiW33.3	C1	1
Centroid3.1	WiW28.3	BB32.3	WiW28.3	C1	1
Centroid3.1	WiW29.3	RDM01.3	WiW29.3	C1	1
Centroid3.1	BB21.3	WiW30.3	WiW30.3	C2	none
Centroid3.1	BB22.3	CHE12.3	BB22.3	C1	1
Centroid3.1	WYT95.3	BB32.3	WYT95.3	C1	1
Centroid3.1	WiW33.3	BB32.3	WiW33.3	C1	1
