sample	Centroid4.1	Centroid4.2	maxDistToC	minDistToC	meanDistToC	diffDistToC	diffDistRelToC	id.DmaxToC	id.DminToC	maxDistToBdC4.1	minDistToBdC4.1	meanDistToBdC4.1	diffDistToBdC4.1	diffDistRelToBdC4.1	id.DmaxToBdC4.1	id.DminToBdC4.1	maxDistToBdC4.2	minDistToBdC4.2	meanDistToBdC4.2	diffDistToBdC4.2	diffDistRelToBdC4.2	id.DmaxToBdC4.2	id.DminToBdC4.2	maxDistToBd	minDistToBd	meanDistToBd	diffDistToBd	diffRelDistToBd	id.minDistToBd	id.maxDistToBd	id.class.minDistToBd	id.class.maxDistToBd	Nsame.class	Class	Converge
SAC12	0.806215383064122	0.810365010039444	0.810365010039444	0.806215383064122	0.808290196551783	0.00414962697532117	0.00513383311219627	Centroid4.2	Centroid4.1	0.823641054661683	0.436447884958101	0.808285283595821	0.387193169703582	0.479030334414942	AE198.4	BB30.4	0.828457880593796	0.373155236895118	0.774453283744602	0.455302643698678	0.587902011980916	WEL02.4	WiW22.4	0.436447884958101	0.373155236895118	0.404801560926609	0.0632926480629833	0.169614792464437	WiW22.4	BB30.4	C2	C1	4	2	1
SAC13	0.79156445049368	0.805703873853839	0.805703873853839	0.79156445049368	0.79863416217376	0.0141394233601589	0.0177045060552802	Centroid4.2	Centroid4.1	0.822452167065658	0.459735032951883	0.798756426344068	0.362717134113776	0.454102304721282	AE198.4	BB30.4	0.828931794068724	0.409582551954939	0.773023403065334	0.419349242113785	0.542479361492685	WEL07.4	WiW22.4	0.459735032951883	0.409582551954939	0.434658792453411	0.0501524809969431	0.12244779656156	WiW22.4	BB30.4	C2	C1	4	2	1
SAC14	0.778893780811405	0.779141807375358	0.779141807375358	0.778893780811405	0.779017794093382	0.000248026563953063	0.000318383695255274	Centroid4.2	Centroid4.1	0.813666209901071	0.600153825117199	0.791028684656516	0.213512384783873	0.269917373320773	AE198.4	WYM39.4	0.818350991435159	0.618885727570386	0.786361581276649	0.199465263864773	0.25365591175111	WEL14.4	BB06.4	0.618885727570386	0.600153825117199	0.609519776343792	0.0187319024531875	0.0312118354815609	WYM39.4	BB06.4	C1	C2	4	2	1
SAC15	0.803479292432807	0.811795079187357	0.811795079187357	0.803479292432807	0.807637185810082	0.00831578675454991	0.0102964386740179	Centroid4.2	Centroid4.1	0.822217627762931	0.782212360676567	0.810349914780774	0.0400052670863642	0.0493678920138924	AE198.4	WiW31.4	0.828222462135695	0.789477582421116	0.814523403248528	0.0387448797145785	0.0475675463222469	WEL02.4	BB06.4	0.789477582421116	0.782212360676567	0.785844971548842	0.00726522174454913	0.00928804262088769	WiW31.4	BB06.4	C1	C2	4	2	1
SAC16	0.79066579943216	0.798908686550718	0.798908686550718	0.79066579943216	0.794787242991439	0.00824288711855892	0.0103711869953198	Centroid4.2	Centroid4.1	0.82288967732006	0.583775862440027	0.798627223206371	0.239113814880033	0.29940604068069	AE155.4	BB30.4	0.826833614843372	0.478604021486202	0.774158724004152	0.348229593357169	0.449816791517939	BB88.4	WiW32.4	0.583775862440027	0.478604021486202	0.531189941963115	0.105171840953824	0.219747089937179	WiW32.4	BB30.4	C2	C1	4	2	1
WEL01	0.801569528365387	0.80124721059217	0.801569528365387	0.80124721059217	0.801408369478778	0.000322317773217562	0.000402189177818534	Centroid4.1	Centroid4.2	0.819656375558839	0.562762136051609	0.80548316385114	0.25689423950723	0.318931854862092	AE198.4	CHE07.4	0.826264389103414	0.296234145226548	0.750683378302178	0.530030243876866	0.706063647067338	WEL02.4	BB40.4	0.562762136051609	0.296234145226548	0.429498140639078	0.266527990825061	0.89972069432182	BB40.4	CHE07.4	C2	C1	4	2	1
WEL02	0.780804916200713	0.786947231952618	0.786947231952618	0.780804916200713	0.783876074076665	0.00614231575190483	0.00783582501754492	Centroid4.2	Centroid4.1	0.812848403817392	0.522081018083733	0.788032263361517	0.29076738573366	0.368979037093393	OWW15.4	BB30.4	0.820751377552623	0.484318182485536	0.756311745908828	0.336433195067087	0.444834021006522	WEL14.4	BB27.4	0.522081018083733	0.484318182485536	0.503199600284634	0.0377628355981969	0.0779711292365627	BB27.4	BB30.4	C2	C1	4	2	1
WEL03	0.80112561955551	0.802496638908255	0.802496638908255	0.80112561955551	0.801811129231883	0.00137101935274508	0.00170990312152251	Centroid4.2	Centroid4.1	0.82338091029661	0.716632321790229	0.808552324280667	0.10674858850638	0.132024341901867	AE155.4	CHE06.4	0.829301417358356	0.351445907416157	0.782628359414023	0.477855509942198	0.610577810264865	WEL07.4	BB100.4	0.716632321790229	0.351445907416157	0.534039114603193	0.365186414374072	1.03909707487828	BB100.4	CHE06.4	C2	C1	3	2	0
WEL04	0.771099824016859	0.766286568894046	0.771099824016859	0.766286568894046	0.768693196455452	0.00481325512281283	0.00626160755033009	Centroid4.1	Centroid4.2	0.817865857541643	0.520733901705608	0.78761539556878	0.297131955836035	0.377255139383684	BB23.4	WYM39.4	0.826940651298162	0.555512450816851	0.781077175346767	0.271428200481311	0.347504970121304	WEL02.4	BB06.4	0.555512450816851	0.520733901705608	0.53812317626123	0.0347785491112432	0.0667875646224105	WYM39.4	BB06.4	C1	C2	4	2	1
WEL05	0.772687403316708	0.772243549825124	0.772687403316708	0.772243549825124	0.772465476570916	0.000443853491583601	0.000574593305520824	Centroid4.1	Centroid4.2	0.81873286377181	0.551548458521741	0.787600950059748	0.267184405250069	0.339238297299921	AE198.4	WYM39.4	0.820361623035445	0.5798780952599	0.780118345742828	0.240483527775545	0.30826544342648	BB88.4	BB06.4	0.5798780952599	0.551548458521741	0.56571327689082	0.0283296367381597	0.0513638218010594	WYM39.4	BB06.4	C1	C2	4	2	1
