P_obs_class1	5%_class1	95%_class1	sig_class1	P_obs_class2	5%_class2	95%_class2	sig_class2	P_obs_classmix	5%_classmix	95%_classmix	sig_classmix	high_class	prop_sig	prop_sig_class
ASV_82	0.0651026685085737	0.00613643653236529	0.128100002627316	1	0.0345326024238959	-0.064574949356178	0.121627488121699	0	0.0803701406393622	0.011791993682098	0.143369474760104	1	classmix	FALSE	none
ASV_83	2.53402744712295	1.6473780315364	3.41563262100922	1	1.43541515845484	0	2.82170951957473	0	3.14713192000936	2.16630266699763	4.05553878920955	1	classmix	FALSE	none
ASV_84	2.92892360388188	0	4.70252146551843	0	3.5350594074522	0	5.34743816388299	0	4.55362898844677	2.90027184207783	6.36600774487756	1	classmix	FALSE	none
ASV_85	2.60470240479289	1.85019557867052	3.43226537126239	1	2.45706640598682	1.00832062777806	3.48391189628526	1	1.80165955340972	0.063154506189577	2.85944984755758	1	class1	FALSE	none
ASV_86	2.52832942600831	1.92746348201961	3.17723941105527	1	0	0	0	0	1.51397748095794	0.127683119838052	2.40446270403363	1	class1	FALSE	none
ASV_87	2.25639571052467	1.71050130460808	2.85156248272441	1	1.8692797410847	0.644687649556031	2.70252011800644	1	1.27841140964518	0	2.13752030123614	0	class1	FALSE	none
ASV_88	2.11939810992366	1.50356397353644	2.73436750941958	1	0	0	0	0	2.57138323366672	1.86244125887161	3.17553139453106	1	classmix	FALSE	none
ASV_89	0.33187388842225	0.18328542174821	0.475534787264161	1	0.19267675826205	-0.0563828588635252	0.405748257909526	0	0.424573100685854	0.263282568870748	0.583140463437787	1	classmix	FALSE	none
ASV_90	2.50187742848608	1.90715862971674	3.12397812973283	1	1.53247687129797	0	2.44131804901868	0	0.066139802504545	-0.267968366821787	1.31455045626105	0	class1	FALSE	none
ASV_91	2.91180256310177	2.09588179764344	3.86583362295877	1	1.64613618977049	0	2.99224329018423	0	2.66470577076507	1.39272823732507	3.7269504152623	1	class1	FALSE	none
ASV_93	1.9072723563499	1.31948569144778	2.58021682959233	1	2.10794305181205	1.11215231314058	2.85672020495234	1	2.34635407525705	1.61619623573022	3.1029717971543	1	classmix	FALSE	none
ASV_94	1.35501660135925	1.03471826834931	1.65819918182499	1	0.752192059092589	0.13204961025087	1.2450364285881	1	0.566788835761226	-0.0313916804880634	1.04916363552318	0	class1	FALSE	none
ASV_95	2.14273639205215	1.13615399928795	3.02613861785362	1	3.54737989184024	2.77172958726971	4.4685032185526	1	1.97568230738898	0.542961849394541	3.05058255603063	1	class2	FALSE	none
ASV_96	1.14702420270482	0.804032572149742	1.49072977087135	1	0.979970118041656	0.398567464041577	1.42283928272982	1	1.26283290405749	0.848578900976625	1.64132976507095	1	classmix	FALSE	none
ASV_97	1.08731016519918	0.804020185961668	1.37298701557644	1	0.623004557068078	0.00851597049194681	1.06742709106385	1	0.861415580513076	0.455370526903533	1.23807184478071	1	class1	FALSE	none
ASV_98	3.15206715519609	2.13758171050815	4.18350495458579	1	3.24737733500042	1.4305361420379	4.42326356933487	1	1.78104026620699	0	3.18795391452961	0	class2	FALSE	none
