P_obs_class1	5%_class1	95%_class1	sig_class1	P_obs_class2	5%_class2	95%_class2	sig_class2	P_obs_mix	5%_mix	95%_mix	sig_mix	high_class	prop_sig	prop_sig_class
ASV_51	0.258645649561097	0.189342745975335	0.329694977400161	1	0.403865040487034	0.326586205152902	0.485946249620263	1	0.269755111543222	0.187928397700526	0.357193046874378	1	class2	FALSE	none
ASV_52	0.635669838316719	0.516371389987518	0.75234125674477	1	0.700595281494328	0.54072791725625	0.855057839632707	1	0.752420349358914	0.61874597675641	0.885450314628184	1	classmix	FALSE	none
ASV_53	0.753413484156841	0.6718679572306	0.826972864030005	1	-1.52210401912913	-2.02039666314719	-1.17242568320246	-1	0.0825146068690239	-0.0727750562078262	0.220340546646092	0	class1	TRUE	class1
ASV_54	0.115052071470001	0.0567165346229835	0.171801108497801	1	0.313716748205286	0.254426792866229	0.372825252862854	1	0.3062748533949	0.252240832509438	0.361704097885805	1	class2	FALSE	none
ASV_55	0.460088883166637	0.393295802629852	0.53891533519553	1	0.310995512229902	0.191381929959255	0.426709273545713	1	0.0601350722438958	-0.0602135514210122	0.174538320683195	0	class1	FALSE	none
ASV_56	3.48734962368171	2.78883269730327	4.23047673654668	1	4.27580698404599	3.41626623642994	5.10737184730016	1	3.32029553901855	2.14414814906601	4.20513982989416	1	class2	FALSE	none
ASV_57	1.07114567241888	0.920339742320972	1.2227883165304	1	0.121088078073904	-0.256042075845061	0.407298883547603	0	1.22821105640992	1.05183867383734	1.39513053870606	1	classmix	FALSE	none
ASV_58	0.316435376617807	0.221060863747792	0.422458205314697	1	0.718874763809435	0.617026410980511	0.825968081841576	1	0.73918002997018	0.642169197585803	0.830805591284926	1	classmix	FALSE	none
ASV_59	0.659380079903181	0.572609647861834	0.739359143952184	1	0.191001146384447	0.0331296748390957	0.344449512864736	1	0.0652884018777222	-0.0866482176506688	0.198618198939805	0	class1	TRUE	class1
ASV_60	0.704696386570062	0.578431761074474	0.840482958741429	1	1.13355205561935	0.983009163390367	1.27403162474746	1	0.694368311511886	0.521346387161124	0.860528150982024	1	class2	TRUE	class2
ASV_61	1.43263128380935	1.29468411325938	1.57898451258483	1	0	0	0	0	0.0560642144446306	-0.235006684588995	0.334439828745723	0	class1	TRUE	class1
ASV_62	0.735966066429955	0.648211512041766	0.822969196763037	1	-0.711621142391576	-1.02378614935813	-0.463734683799407	-1	0.330115497884531	0.192162447477842	0.454046063282619	1	class1	TRUE	class1
