P_obs_class1	5%_class1	95%_class1	sig_class1	P_obs_class2	5%_class2	95%_class2	sig_class2	P_obs_classmix	5%_classmix	95%_classmix	sig_classmix	high_class	prop_sig	prop_sig_class
ASV_35	0.352924730239107	0.301962739393232	0.411600011696272	1	0.126825719733315	0.0383283962659156	0.215293382616819	1	-0.0768309439073984	-0.176682090388414	0.0182072871553958	0	class1	TRUE	class1
ASV_36	2.11013203480943	1.85819593631395	2.35985660497176	1	-0.93439040291399	-1.75323339079326	0	0	1.37203346638722	0.969834114814679	1.69201554050103	1	class1	TRUE	class1
ASV_37	0.631169460099969	0.563679838316574	0.702889009992177	1	-0.377475493174311	-0.593050834504371	-0.178441913496419	-1	0.033469080698479	-0.0899899985086703	0.169748785123565	0	class1	TRUE	class1
ASV_38	0.238344598362144	0.18770468227737	0.290898125750678	1	0.0592494290237127	-0.035143183710976	0.146243078714281	0	0.208629728149229	0.139033244837074	0.27206907441691	1	class1	FALSE	none
ASV_39	0.0467746544177554	0.0135686812129406	0.0797694950858825	1	0.107432119653193	0.0683436262288561	0.142315053223498	1	0.11584483254152	0.0823090646884586	0.145416584899271	1	classmix	FALSE	none
ASV_40	1.72415915441519	1.54597535794265	1.92292139639141	1	-0.958106929531306	-1.97968512837631	-0.347932264944045	-1	0.200224593838425	-0.207391144067035	0.539674645081503	0	class1	TRUE	class1
ASV_41	0.834533518474534	0.751120411260733	0.932646871932648	1	-1.50376965712159	-2.08793500093814	-1.12959429335484	-1	0.351047948073601	0.209987402805312	0.488638901892171	1	class1	TRUE	class1
ASV_42	0.14408421507157	0.0753916626798504	0.220141539239548	1	0.451727030085889	0.3791300574467	0.522407192509874	1	0.462183399120268	0.394407760220121	0.528599482296867	1	classmix	FALSE	none
ASV_43	1.34897825391683	1.21361396994854	1.48571924407439	1	-1.85708861265879	-3.19484667677988	-1.20878834563635	-1	0.280712544206626	0.00942889463014907	0.520734523076288	1	class1	TRUE	class1
ASV_44	0.0899032022672618	0.0512669845654381	0.125537455424421	1	0.0808533667473439	0.0251522863393323	0.131797584506957	1	0.135122996681402	0.0922343192425186	0.175492339431909	1	classmix	FALSE	none
ASV_45	0.732636381635729	0.642150170830184	0.822966802918101	1	0.00544335966606635	-0.211557859606113	0.174516063044707	0	0.176715080273436	0.0310931485259217	0.324621609195795	1	class1	TRUE	class1
ASV_46	1.43133007599388	1.30212272994187	1.57369378852228	1	-3.17474878793042	-3.24819645383981	0	0	-0.0459660065892622	-0.381822247996135	0.242237745014942	0	class1	TRUE	class1
ASV_47	1.53623887949685	1.28520676856245	1.79724583082941	1	2.13364100309841	1.85789999059236	2.41105139790974	1	1.43643702184285	1.12689131788211	1.73718369890454	1	class2	TRUE	class2
ASV_48	1.081438734631	0.947059417731056	1.21709407292724	1	0.579912414013284	0.362108346635225	0.801302057693323	1	0.409547068046461	0.199160570493201	0.626146042127075	1	class1	TRUE	class1
ASV_49	0.360200632399876	0.297705761011161	0.429534108123258	1	0.138599101437482	0.0331818895402714	0.237597607576647	1	0.153481291344279	0.0562005263623806	0.242433724326439	1	class1	TRUE	class1
ASV_50	0.0722871344908066	0.0329555626312275	0.111727250043128	1	0.155391408615628	0.109662742382022	0.197494166655922	1	0.143171297280852	0.0999993105457845	0.181736833832279	1	class2	FALSE	none
ASV_51	0.258645649561097	0.188643734219125	0.329962480203117	1	0.403865040487034	0.318848360717675	0.481902630494719	1	0.269755111543222	0.184307426066183	0.354115202746437	1	class2	FALSE	none
ASV_52	0.635669838316719	0.523708010512253	0.746087063747336	1	0.700595281494328	0.539117465891387	0.848896123032709	1	0.752420349358914	0.617695805443902	0.880233190772282	1	classmix	FALSE	none
ASV_53	0.753413484156841	0.675154910105923	0.832257490178329	1	-1.52210401912913	-2.00063644594778	-1.16301047260724	-1	0.0825146068690239	-0.0643218053193942	0.21646417690253	0	class1	TRUE	class1
ASV_54	0.115052071470001	0.0542012533653549	0.175618197099888	1	0.313716748205286	0.254859599806219	0.371463333441663	1	0.3062748533949	0.247888457851371	0.362485225252712	1	class2	FALSE	none
ASV_55	0.460088883166637	0.388779014658391	0.532596299959253	1	0.310995512229902	0.201547368186757	0.41408106625714	1	0.0601350722438958	-0.0587614832091355	0.172563677703225	0	class1	FALSE	none
ASV_56	3.48734962368171	2.77964385428922	4.25805955116182	1	4.27580698404599	3.42959685618385	5.12202446403424	1	3.32029553901855	2.20712466151789	4.20927452889608	1	class2	FALSE	none
ASV_57	1.07114567241888	0.919068084073951	1.23204851190394	1	0.121088078073904	-0.264690554071634	0.404088895569376	0	1.22821105640992	1.04782386454177	1.4011033457157	1	classmix	FALSE	none
ASV_58	0.316435376617807	0.207871270519977	0.414746987254238	1	0.718874763809435	0.614103982295377	0.831884953645163	1	0.73918002997018	0.638885038079575	0.835758800013163	1	classmix	FALSE	none
ASV_59	0.659380079903181	0.578267052867621	0.750845910882592	1	0.191001146384447	0.0411241904470776	0.337851680802029	1	0.0652884018777222	-0.0759421868596319	0.206317438369815	0	class1	TRUE	class1
ASV_60	0.704696386570062	0.57016444599905	0.838143388631638	1	1.13355205561935	0.989636742737524	1.27813501692951	1	0.694368311511886	0.529436802297815	0.853817569842606	1	class2	TRUE	class2
ASV_61	1.43263128380935	1.29631297692113	1.57896862281374	1	0	0	0	0	0.0560642144446306	-0.23388333409117	0.336684835472561	0	class1	TRUE	class1
ASV_62	0.735966066429955	0.650625256842966	0.819182950109438	1	-0.711621142391576	-1.01142084124144	-0.448531903190056	-1	0.330115497884531	0.193992078309454	0.457149453879596	1	class1	TRUE	class1
ASV_63	0.536893687784986	0.305509995502067	0.744747894874596	1	1.97782718897827	1.80110766837573	2.16668800691734	1	1.70025350584725	1.49430682142036	1.88893564066068	1	class2	FALSE	none
ASV_64	1.63306004178222	1.45225480392512	1.8186967195214	1	-1.21475210169515	-2.49915859545097	-0.495769477450964	-1	0.815418390977906	0.521033932991134	1.07621853410696	1	class1	TRUE	class1
ASV_65	0.170469662565574	0.118455516036392	0.228081973242956	1	0.192529380630306	0.121195737143351	0.265678033221966	1	0.225815358263773	0.166545541375153	0.285416871362999	1	classmix	FALSE	none
ASV_66	0.124288189868737	0.0605573960932041	0.188839095761001	1	0.379941019748242	0.312228146400849	0.44488806652531	1	0.409416837881195	0.351344379293171	0.466312522658684	1	classmix	FALSE	none
ASV_67	0.148227374985383	0.0881715110513242	0.205436489908004	1	0.258487459484368	0.18613074538029	0.32225252056532	1	0.298376016005504	0.241224191040015	0.351962019601811	1	classmix	FALSE	none
