EC	Final.Rep1.Class1	Final.Rep1.Class2	Final.Rep2.Class1	Final.Rep2.Class2	Final.Rep3.Class1	Final.Rep3.Class2	Final.Rep4.Class1	Final.Rep4.Class2	Starting.Class1	Starting.Class2	Starting.Class3	Starting.Class4	Starting.Class5
2.7.7.61	0.000199162122144074	3.95316493920171e-05	0.000206551192737236	4.54983370902041e-05	0.000231331879983426	5.50718942330807e-05	0.000209275481567577	3.97014150348572e-05	0.000142501888910138	0.000100025719498696	5.36836450851642e-05	0.000245280829340821	3.35520322341635e-05
2.7.7.62	0.00065315572574003	0.00072133701320595	0.000661289789544723	0.000740422873313918	0.000669055541614997	0.000730754457513532	0.000646995049692144	0.000726428276043375	0.000629270458424574	0.000745875331544109	0.000728399889056858	0.000734366947063893	0.0008951359283193
2.7.7.63	0.000396099472466593	0.00036823978498388	0.000398579319070342	0.000347499181644447	0.000406202190433579	0.000429254788038514	0.000406244414521866	0.000325419826574321	0.000420093333386768	0.000392644295020053	0.000343825342383316	0.000347915322563216	0.000774377091674836
2.7.7.65	0.000966261230411406	0.000603328419086528	0.000991027986734468	0.000659480865034361	0.00104958248743804	0.00067088745616943	0.000975237868300832	0.000627985230351036	0.000945530952453247	0.00105097832964286	0.00079572418563048	0.00110234687491094	0.0010076355276393
2.7.7.66	0.000368916781087592	0.000121605489784268	0.000372178248765615	0.000114086428503173	0.000420344203275157	0.00012504645575256	0.000365849178169621	9.16361671018406e-05	0.000392973424996699	0.000287729182849465	0.000279178501979964	0.000476752768821551	0.000160872244778679
2.7.7.67	1.42165136619872e-08	7.12270411261792e-07	6.69223354164565e-09	3.23700950424698e-07	1.71901555817579e-09	2.23885718408843e-07	1.62446086377395e-08	2.3241178149043e-07	1.88301212889187e-08	4.66083490658602e-08	1.02401748902582e-06	1.18944972699291e-07	7.14998751294935e-09
2.7.7.68	9.52974780853932e-06	4.46699060155862e-05	5.21549303757709e-06	4.59846710845137e-05	6.59474508939332e-06	2.90530741929654e-05	7.3862841586172e-06	3.51528893791502e-05	1.04106640078968e-05	4.75219984539726e-05	6.19936063875827e-05	1.43691072160801e-05	5.18964111387237e-05
2.7.7.7	0.00913556514463607	0.0103191236089106	0.00902232843673968	0.0101932837945419	0.00893628362842758	0.0101927067840856	0.00909371143736281	0.010353849982462	0.00909593771838946	0.00882809031810419	0.00984612288206403	0.00896498164212663	0.009779775357137
2.7.7.70	0.000558386484042768	0.000230079860956236	0.000563395930722631	0.000240045074342221	0.000629732139208121	0.00024844080452326	0.000567878155989196	0.000240109137354397	0.000651132252065083	0.000371139348727651	0.000308417526918556	0.000577218891625181	0.000161248408571054
2.7.7.71	1.34928510403937e-06	2.3442649961446e-06	4.62085016726231e-07	6.41715038290966e-07	3.36931562204722e-07	6.05974126908167e-06	5.52136803518483e-07	2.27824352029605e-06	7.16819259641159e-07	5.79282394223502e-07	6.48293350407372e-06	3.30162392288454e-06	2.38159957451282e-07
2.7.7.72	0.000658798858521242	0.000651424522406624	0.000650383156573809	0.000653235703170084	0.000698462085022947	0.000688846297705029	0.00065819106276154	0.000631931189687855	0.000749837780572567	0.000640430045838497	0.000636915154500691	0.000737272045454715	0.000866891542855649
2.7.7.73	0.000300792107265828	4.65793680657684e-05	0.000309736079486821	6.03358185326491e-05	0.000349736378649509	7.09321819519086e-05	0.000323320512537202	5.12386461441559e-05	0.000339190277504256	0.000148125543753475	6.52490922834458e-05	0.000277951474112417	3.95453040682992e-05
2.7.7.74	4.22859056859722e-08	3.46504278200182e-06	6.08198104654327e-08	1.1274006902436e-06	7.69091461375798e-08	9.30602977307462e-07	1.20384660771671e-07	9.76429028061938e-07	3.14771762591163e-07	0	3.69686085298162e-07	9.52029983682429e-09	1.70751041480987e-07
2.7.7.75	0.000383738699615062	0.000421006972231276	0.000380452348527138	0.000409983256102036	0.000406953773700265	0.000372584473964617	0.000400098650847192	0.000425313160751704	0.000379836727960579	0.000225747205447832	0.000269481680147319	0.000374518469372455	9.36941009876685e-05
2.7.7.76	0.000689240916861976	0.000740448360425857	0.00069667964329387	0.000745858134352415	0.000686879876471998	0.000718681799843002	0.000683545281738882	0.000754271751670626	0.000618792277364326	0.000720537079764629	0.000679249076370418	0.000753187757816254	0.000259986941312178
2.7.7.77	0.000827697135470457	0.000786573342339258	0.00082464624451774	0.000817346104179682	0.000845264293256284	0.000794736844084593	0.000831824065445442	0.0008225921400325	0.000847172345346361	0.000771860207235313	0.00067595226399789	0.000809553124042098	0.000860020051463806
2.7.7.8	0.000914092305708966	0.00103624672930309	0.000902909577948972	0.00102477790409827	0.000894068796235923	0.00102590533760439	0.000910446204882886	0.00103916788065366	0.000910606693875812	0.000884489054188647	0.000994526494971548	0.000898609115071915	0.000980695733957217
2.7.7.81	2.52633240508829e-07	1.41429998120373e-06	2.89470721613874e-07	6.19872567258309e-06	5.40381300280709e-08	1.17843297881148e-05	1.35733296273826e-06	3.29344761180156e-06	3.3310562985113e-07	3.65646566626384e-06	2.78069026579417e-06	4.40875631517659e-07	4.63298262608222e-07
2.7.7.82	2.2872314284703e-07	4.01816694452329e-06	2.00445441597744e-07	4.52151571557854e-06	1.64612025070565e-07	2.74697759408836e-06	1.601203285634e-07	4.33385511001135e-06	4.58572572865208e-07	4.29600878855282e-07	5.43015385175646e-06	6.38750499691772e-07	5.33740499349311e-07
2.7.7.83	1.14517607004201e-08	9.18360841546855e-07	8.32254915970522e-10	2.82984511586536e-08	0	7.40230906088214e-09	5.63600764185203e-09	1.51425522058164e-06	1.90216249412963e-07	1.16494190717178e-07	4.35866890693982e-06	2.09206255726606e-06	1.15926337561408e-07
