sampleid	Name.2	Community	Species	replicate	BreakingBag	parent	Location	Experiment	Part_Time0D_17	Part_Time0D_6	Part_Time4M_64	Part_Time7D_rep1_2	Part_Time7D_rep2_2	Part_Time7D_rep3_2	Part_Time7D_rep4_2	replicate.partition	partition	Time0D_7D_4M	Time0D_7D	Time0D_7D_matched	ExpCompact	exp.replicate.partition	exp.partition	ancestral.class	Examples	startnone_final_class
BB53	NA	NA	NA	Rep0	NA	BB53	BurhamBeeches	0D	10	1	NA	NA	NA	NA	NA	Rep0.Class1	Class1	2	1	NA	Starting	Starting.Rep0.Class1	Starting.Class1	1	 Other	Starting communities
BB54	NA	NA	NA	Rep0	NA	BB54	BurhamBeeches	0D	10	4	NA	NA	NA	NA	NA	Rep0.Class4	Class4	2	1	NA	Starting	Starting.Rep0.Class4	Starting.Class4	4	 Other	Starting communities
BB55	NA	NA	NA	Rep0	NA	BB55	BurhamBeeches	0D	6	3	NA	NA	NA	NA	NA	Rep0.Class3	Class3	3	1	NA	Starting	Starting.Rep0.Class3	Starting.Class3	3	 Other	Starting communities
BB56	NA	NA	NA	Rep0	NA	BB56	BurhamBeeches	0D	6	3	NA	NA	NA	NA	NA	Rep0.Class3	Class3	4	2	NA	Starting	Starting.Rep0.Class3	Starting.Class3	3	 Other	Starting communities
BB57	NA	NA	NA	Rep0	NA	BB57	BurhamBeeches	0D	8	3	NA	NA	NA	NA	NA	Rep0.Class3	Class3	4	2	2	Starting	Starting.Rep0.Class3	Starting.Class3	3	 Other	Starting communities
BB59	NA	NA	NA	Rep0	NA	BB59	BurhamBeeches	0D	4	2	NA	NA	NA	NA	NA	Rep0.Class2	Class2	3	2	NA	Starting	Starting.Rep0.Class2	Starting.Class2	2	 Other	Starting communities
BB60	NA	NA	NA	Rep0	NA	BB60	BurhamBeeches	0D	4	2	NA	NA	NA	NA	NA	Rep0.Class2	Class2	3	2	2	Starting	Starting.Rep0.Class2	Starting.Class2	2	 Other	Starting communities
BB61	NA	NA	NA	Rep0	NA	BB61	BurhamBeeches	0D	8	3	NA	NA	NA	NA	NA	Rep0.Class3	Class3	4	2	1	Starting	Starting.Rep0.Class3	Starting.Class3	3	 Other	Starting communities
BB62	NA	NA	NA	Rep0	NA	BB62	BurhamBeeches	0D	6	3	NA	NA	NA	NA	NA	Rep0.Class3	Class3	4	2	NA	Starting	Starting.Rep0.Class3	Starting.Class3	3	 Other	Starting communities
BB65	NA	NA	NA	Rep0	NA	BB65	BurhamBeeches	0D	3	3	NA	NA	NA	NA	NA	Rep0.Class3	Class3	2	1	NA	Starting	Starting.Rep0.Class3	Starting.Class3	3	 Other	Starting communities
BB66	NA	NA	NA	Rep0	NA	BB66	BurhamBeeches	0D	4	2	NA	NA	NA	NA	NA	Rep0.Class2	Class2	3	2	2	Starting	Starting.Rep0.Class2	Starting.Class2	2	 Other	Starting communities
