sampleid	Name.2	Community	Species	replicate	BreakingBag	parent	Location	Experiment	Time0D_7D_4M
D6.Nov2.WYC41.2.Com	Novo2Rep2Com6	6	Novosphingobium.2	2	no	WYC41	WythamWoods	4M	1
D7.Nov2.WYC42.2.Com	Novo2Rep2Com7	7	Novosphingobium.2	2	no	WYC42	WythamWoods	4M	1
D8.Nov2.WYM25.2.Com	Novo2Rep2Com8	8	Novosphingobium.2	2	no	WYM25	WythamWoods	4M	1
E1.IsoMix.AE103.1.Com	StrainMix1Rep1Com1	1	StrainMix	1	no	AE103	AshridgeEstate	4M	1
E2.IsoMix.BB22.1.Com	StrainMix1Rep1Com2	2	StrainMix	1	no	BB22	BurhamBeeches	4M	1
E3.IsoMix.SP02.1.Com	StrainMix1Rep1Com3	3	StrainMix	1	no	SP02	SilwoodPark	4M	1
E4.IsoMix.SP03.1.Com	StrainMix1Rep1Com4	4	StrainMix	1	no	SP03	SilwoodPark	4M	1
E5.IsoMix.SP04.1.Com	StrainMix1Rep1Com5	5	StrainMix	1	no	SP04	SilwoodPark	4M	1
E6.IsoMix.WYC41.1.Com	StrainMix1Rep1Com6	6	StrainMix	1	no	WYC41	WythamWoods	4M	1
E7.IsoMix.WYC42.1.Com	StrainMix1Rep1Com7	7	StrainMix	1	no	WYC42	WythamWoods	4M	1
E8.IsoMix.WYM25.1.Com	StrainMix1Rep1Com8	8	StrainMix	1	no	WYM25	WythamWoods	4M	1
F1.IsoMix.AE103.2.Com	StrainMixRep2Com1	1	StrainMix	2	no	AE103	AshridgeEstate	4M	1
F2.IsoMix.BB22.2.Com	StrainMixRep2Com2	2	StrainMix	2	no	BB22	BurhamBeeches	4M	1
F3.IsoMix.SP02.2.Com	StrainMixRep2Com3	3	StrainMix	2	no	SP02	SilwoodPark	4M	1
F4.IsoMix.SP03.2.Com	StrainMixRep2Com4	4	StrainMix	2	no	SP03	SilwoodPark	4M	1
F5.IsoMix.SP04.2.Com	StrainMixRep2Com5	5	StrainMix	2	no	SP04	SilwoodPark	4M	1
F6.IsoMix.WYC41.2.Com	StrainMixRep2Com6	6	StrainMix	2	no	WYC41	WythamWoods	4M	1
F7.IsoMix.WYC42.2.Com	StrainMixRep2Com7	7	StrainMix	2	no	WYC42	WythamWoods	4M	1
F8.IsoMix.WYM25.2.Com	StrainMixRep2Com8	8	StrainMix	2	no	WYM25	WythamWoods	4M	1
G1.CTRL.AE103.1.Com	CTRLRep1Com1	1	CTRL	1	no	AE103	AshridgeEstate	4M	1
G2.CTRL.BB22.1.Com	CTRLRep1Com2	2	CTRL	1	no	BB22	BurhamBeeches	4M	1
G3.CTRL.SP02.1.Com	CTRLRep1Com3	3	CTRL	1	no	SP02	SilwoodPark	4M	1
G4.CTRL.SP03.1.Com	CTRLRep1Com4	4	CTRL	1	no	SP03	SilwoodPark	4M	1
