sampleid	Name.2	Community	Species	replicate	BreakingBag	parent	Location	Experiment	Part_Time0D_17	Part_Time0D_6	Part_Time4M_64	Part_Time7D_rep1_2	Part_Time7D_rep2_2	Part_Time7D_rep3_2	Part_Time7D_rep4_2	replicate.partition	partition	Time0D_7D_4M	Time0D_7D	Time0D_7D_matched
503	OWW02.1	NA	NA	NA	1	NA	OWW02	OldWindsorWood	7D_rep1	NA	NA	NA	1	NA	NA	NA	1.1	1	1	1	1
504	OWW02.2	NA	NA	NA	2	NA	OWW02	OldWindsorWood	7D_rep2	NA	NA	NA	NA	1	NA	NA	2.1	1	2	1	1
505	OWW02.3	NA	NA	NA	3	NA	OWW02	OldWindsorWood	7D_rep3	NA	NA	NA	NA	NA	1	NA	3.1	1	1	1	1
506	OWW02.4	NA	NA	NA	4	NA	OWW02	OldWindsorWood	7D_rep4	NA	NA	NA	NA	NA	NA	1	4.1	1	2	1	1
507	OWW03.1	NA	NA	NA	1	NA	OWW03	OldWindsorWood	7D_rep1	NA	NA	NA	1	NA	NA	NA	1.1	1	2	1	NA
508	OWW03.2	NA	NA	NA	2	NA	OWW03	OldWindsorWood	7D_rep2	NA	NA	NA	NA	1	NA	NA	2.1	1	2	1	NA
509	OWW03.3	NA	NA	NA	3	NA	OWW03	OldWindsorWood	7D_rep3	NA	NA	NA	NA	NA	1	NA	3.1	1	2	1	NA
510	OWW04.1	NA	NA	NA	1	NA	OWW04	OldWindsorWood	7D_rep1	NA	NA	NA	1	NA	NA	NA	1.1	1	1	1	1
511	OWW04.2	NA	NA	NA	2	NA	OWW04	OldWindsorWood	7D_rep2	NA	NA	NA	NA	1	NA	NA	2.1	1	2	1	1
512	OWW04.3	NA	NA	NA	3	NA	OWW04	OldWindsorWood	7D_rep3	NA	NA	NA	NA	NA	1	NA	3.1	1	1	1	1
513	OWW04.4	NA	NA	NA	4	NA	OWW04	OldWindsorWood	7D_rep4	NA	NA	NA	NA	NA	NA	1	4.1	1	2	1	1
514	OWW05.1	NA	NA	NA	1	NA	OWW05	OldWindsorWood	7D_rep1	NA	NA	NA	1	NA	NA	NA	1.1	1	1	1	1
515	OWW05.2	NA	NA	NA	2	NA	OWW05	OldWindsorWood	7D_rep2	NA	NA	NA	NA	1	NA	NA	2.1	1	2	1	1
516	OWW05.3	NA	NA	NA	3	NA	OWW05	OldWindsorWood	7D_rep3	NA	NA	NA	NA	NA	1	NA	3.1	1	2	1	1
517	OWW05.4	NA	NA	NA	4	NA	OWW05	OldWindsorWood	7D_rep4	NA	NA	NA	NA	NA	NA	1	4.1	1	2	1	1
518	OWW06.1	NA	NA	NA	1	NA	OWW06	OldWindsorWood	7D_rep1	NA	NA	NA	1	NA	NA	NA	1.1	1	1	1	1
519	OWW06.2	NA	NA	NA	2	NA	OWW06	OldWindsorWood	7D_rep2	NA	NA	NA	NA	1	NA	NA	2.1	1	2	1	1
520	OWW06.3	NA	NA	NA	3	NA	OWW06	OldWindsorWood	7D_rep3	NA	NA	NA	NA	NA	1	NA	3.1	1	1	1	1
521	OWW06.4	NA	NA	NA	4	NA	OWW06	OldWindsorWood	7D_rep4	NA	NA	NA	NA	NA	NA	1	4.1	1	2	1	1
522	OWW07.1	NA	NA	NA	1	NA	OWW07	OldWindsorWood	7D_rep1	NA	NA	NA	1	NA	NA	NA	1.1	1	1	1	1
523	OWW07.2	NA	NA	NA	2	NA	OWW07	OldWindsorWood	7D_rep2	NA	NA	NA	NA	1	NA	NA	2.1	1	1	1	1
524	OWW07.3	NA	NA	NA	3	NA	OWW07	OldWindsorWood	7D_rep3	NA	NA	NA	NA	NA	1	NA	3.1	1	1	1	1
525	OWW07.4	NA	NA	NA	4	NA	OWW07	OldWindsorWood	7D_rep4	NA	NA	NA	NA	NA	NA	1	4.1	1	2	1	1
526	OWW08.1	NA	NA	NA	1	NA	OWW08	OldWindsorWood	7D_rep1	NA	NA	NA	1	NA	NA	NA	1.1	1	2	1	1
527	OWW08.2	NA	NA	NA	2	NA	OWW08	OldWindsorWood	7D_rep2	NA	NA	NA	NA	1	NA	NA	2.1	1	1	1	1
528	OWW08.3	NA	NA	NA	3	NA	OWW08	OldWindsorWood	7D_rep3	NA	NA	NA	NA	NA	1	NA	3.1	1	2	1	1
529	OWW08.4	NA	NA	NA	4	NA	OWW08	OldWindsorWood	7D_rep4	NA	NA	NA	NA	NA	NA	1	4.1	1	2	1	1
530	OWW09.1	NA	NA	NA	1	NA	OWW09	OldWindsorWood	7D_rep1	NA	NA	NA	1	NA	NA	NA	1.1	1	1	1	1
531	OWW09.2	NA	NA	NA	2	NA	OWW09	OldWindsorWood	7D_rep2	NA	NA	NA	NA	1	NA	NA	2.1	1	2	1	1
532	OWW09.3	NA	NA	NA	3	NA	OWW09	OldWindsorWood	7D_rep3	NA	NA	NA	NA	NA	1	NA	3.1	1	1	1	1
533	OWW09.4	NA	NA	NA	4	NA	OWW09	OldWindsorWood	7D_rep4	NA	NA	NA	NA	NA	NA	1	4.1	1	2	1	1
534	OWW10.1	NA	NA	NA	1	NA	OWW10	OldWindsorWood	7D_rep1	NA	NA	NA	1	NA	NA	NA	1.1	1	1	1	NA
535	OWW10.2	NA	NA	NA	2	NA	OWW10	OldWindsorWood	7D_rep2	NA	NA	NA	NA	1	NA	NA	2.1	1	1	1	NA
536	OWW10.3	NA	NA	NA	3	NA	OWW10	OldWindsorWood	7D_rep3	NA	NA	NA	NA	NA	1	NA	3.1	1	1	1	NA
537	OWW10.4	NA	NA	NA	4	NA	OWW10	OldWindsorWood	7D_rep4	NA	NA	NA	NA	NA	NA	1	4.1	1	2	1	NA
538	OWW11.1	NA	NA	NA	1	NA	OWW11	OldWindsorWood	7D_rep1	NA	NA	NA	1	NA	NA	NA	1.1	1	2	1	1
539	OWW11.2	NA	NA	NA	2	NA	OWW11	OldWindsorWood	7D_rep2	NA	NA	NA	NA	2	NA	NA	2.2	2	4	2	2
540	OWW11.3	NA	NA	NA	3	NA	OWW11	OldWindsorWood	7D_rep3	NA	NA	NA	NA	NA	1	NA	3.1	1	2	1	1
541	OWW11.4	NA	NA	NA	4	NA	OWW11	OldWindsorWood	7D_rep4	NA	NA	NA	NA	NA	NA	1	4.1	1	1	1	1
542	OWW12.1	NA	NA	NA	1	NA	OWW12	OldWindsorWood	7D_rep1	NA	NA	NA	1	NA	NA	NA	1.1	1	2	1	1
543	OWW12.2	NA	NA	NA	2	NA	OWW12	OldWindsorWood	7D_rep2	NA	NA	NA	NA	1	NA	NA	2.1	1	1	1	1
544	OWW12.3	NA	NA	NA	3	NA	OWW12	OldWindsorWood	7D_rep3	NA	NA	NA	NA	NA	1	NA	3.1	1	1	1	1
545	OWW12.4	NA	NA	NA	4	NA	OWW12	OldWindsorWood	7D_rep4	NA	NA	NA	NA	NA	NA	1	4.1	1	1	1	1
546	OWW13.1	NA	NA	NA	1	NA	OWW13	OldWindsorWood	7D_rep1	NA	NA	NA	1	NA	NA	NA	1.1	1	2	1	1
547	OWW13.2	NA	NA	NA	2	NA	OWW13	OldWindsorWood	7D_rep2	NA	NA	NA	NA	1	NA	NA	2.1	1	1	1	1
548	OWW13.3	NA	NA	NA	3	NA	OWW13	OldWindsorWood	7D_rep3	NA	NA	NA	NA	NA	1	NA	3.1	1	2	1	1
549	OWW13.4	NA	NA	NA	4	NA	OWW13	OldWindsorWood	7D_rep4	NA	NA	NA	NA	NA	NA	1	4.1	1	2	1	1
550	OWW14.1	NA	NA	NA	1	NA	OWW14	OldWindsorWood	7D_rep1	NA	NA	NA	1	NA	NA	NA	1.1	1	2	1	1
551	OWW14.2	NA	NA	NA	2	NA	OWW14	OldWindsorWood	7D_rep2	NA	NA	NA	NA	1	NA	NA	2.1	1	2	1	1
552	OWW14.3	NA	NA	NA	3	NA	OWW14	OldWindsorWood	7D_rep3	NA	NA	NA	NA	NA	1	NA	3.1	1	2	1	1
553	OWW14.4	NA	NA	NA	4	NA	OWW14	OldWindsorWood	7D_rep4	NA	NA	NA	NA	NA	NA	1	4.1	1	2	1	1
554	OWW15.1	NA	NA	NA	1	NA	OWW15	OldWindsorWood	7D_rep1	NA	NA	NA	1	NA	NA	NA	1.1	1	1	1	1
555	OWW15.2	NA	NA	NA	2	NA	OWW15	OldWindsorWood	7D_rep2	NA	NA	NA	NA	1	NA	NA	2.1	1	2	1	1
556	OWW15.3	NA	NA	NA	3	NA	OWW15	OldWindsorWood	7D_rep3	NA	NA	NA	NA	NA	1	NA	3.1	1	1	1	1
557	OWW15.4	NA	NA	NA	4	NA	OWW15	OldWindsorWood	7D_rep4	NA	NA	NA	NA	NA	NA	1	4.1	1	1	1	1
558	OWW16.1	NA	NA	NA	1	NA	OWW16	OldWindsorWood	7D_rep1	NA	NA	NA	1	NA	NA	NA	1.1	1	2	1	1
559	OWW16.2	NA	NA	NA	2	NA	OWW16	OldWindsorWood	7D_rep2	NA	NA	NA	NA	1	NA	NA	2.1	1	2	1	1
560	OWW16.3	NA	NA	NA	3	NA	OWW16	OldWindsorWood	7D_rep3	NA	NA	NA	NA	NA	1	NA	3.1	1	2	1	1
561	OWW16.4	NA	NA	NA	4	NA	OWW16	OldWindsorWood	7D_rep4	NA	NA	NA	NA	NA	NA	1	4.1	1	2	1	1
562	PH01.1	NA	NA	NA	1	NA	PH01	PullingshillWood	7D_rep1	NA	NA	NA	2	NA	NA	NA	1.2	2	4	2	2
563	PH01.2	NA	NA	NA	2	NA	PH01	PullingshillWood	7D_rep2	NA	NA	NA	NA	2	NA	NA	2.2	2	4	2	2
564	PH01.3	NA	NA	NA	3	NA	PH01	PullingshillWood	7D_rep3	NA	NA	NA	NA	NA	2	NA	3.2	2	4	2	2
565	PH01.4	NA	NA	NA	4	NA	PH01	PullingshillWood	7D_rep4	NA	NA	NA	NA	NA	NA	2	4.2	2	4	2	2
566	PH02.1	NA	NA	NA	1	NA	PH02	PullingshillWood	7D_rep1	NA	NA	NA	2	NA	NA	NA	1.2	2	4	2	2
567	PH02.2	NA	NA	NA	2	NA	PH02	PullingshillWood	7D_rep2	NA	NA	NA	NA	2	NA	NA	2.2	2	4	2	2
568	PH02.3	NA	NA	NA	3	NA	PH02	PullingshillWood	7D_rep3	NA	NA	NA	NA	NA	2	NA	3.2	2	4	2	2
569	PH02.4	NA	NA	NA	4	NA	PH02	PullingshillWood	7D_rep4	NA	NA	NA	NA	NA	NA	2	4.2	2	4	2	2
570	PH03.1	NA	NA	NA	1	NA	PH03	PullingshillWood	7D_rep1	NA	NA	NA	2	NA	NA	NA	1.2	2	4	2	2
571	PH03.2	NA	NA	NA	2	NA	PH03	PullingshillWood	7D_rep2	NA	NA	NA	NA	2	NA	NA	2.2	2	4	2	2
572	PH03.3	NA	NA	NA	3	NA	PH03	PullingshillWood	7D_rep3	NA	NA	NA	NA	NA	2	NA	3.2	2	4	2	2
573	PH03.4	NA	NA	NA	4	NA	PH03	PullingshillWood	7D_rep4	NA	NA	NA	NA	NA	NA	2	4.2	2	4	2	2
574	PH04.1	NA	NA	NA	1	NA	PH04	PullingshillWood	7D_rep1	NA	NA	NA	2	NA	NA	NA	1.2	2	3	2	2
575	PH04.2	NA	NA	NA	2	NA	PH04	PullingshillWood	7D_rep2	NA	NA	NA	NA	2	NA	NA	2.2	2	3	2	2
576	PH04.3	NA	NA	NA	3	NA	PH04	PullingshillWood	7D_rep3	NA	NA	NA	NA	NA	2	NA	3.2	2	3	2	2
577	PH04.4	NA	NA	NA	4	NA	PH04	PullingshillWood	7D_rep4	NA	NA	NA	NA	NA	NA	2	4.2	2	3	2	2
578	PH05.1	NA	NA	NA	1	NA	PH05	PullingshillWood	7D_rep1	NA	NA	NA	2	NA	NA	NA	1.2	2	4	2	2
579	PH05.2	NA	NA	NA	2	NA	PH05	PullingshillWood	7D_rep2	NA	NA	NA	NA	2	NA	NA	2.2	2	4	2	2
580	PH05.3	NA	NA	NA	3	NA	PH05	PullingshillWood	7D_rep3	NA	NA	NA	NA	NA	2	NA	3.2	2	4	2	2
581	PH05.4	NA	NA	NA	4	NA	PH05	PullingshillWood	7D_rep4	NA	NA	NA	NA	NA	NA	2	4.2	2	4	2	2
582	PH06.1	NA	NA	NA	1	NA	PH06	PullingshillWood	7D_rep1	NA	NA	NA	2	NA	NA	NA	1.2	2	4	2	2
583	PH06.2	NA	NA	NA	2	NA	PH06	PullingshillWood	7D_rep2	NA	NA	NA	NA	2	NA	NA	2.2	2	4	2	2
584	PH06.3	NA	NA	NA	3	NA	PH06	PullingshillWood	7D_rep3	NA	NA	NA	NA	NA	2	NA	3.2	2	4	2	2
585	PH06.4	NA	NA	NA	4	NA	PH06	PullingshillWood	7D_rep4	NA	NA	NA	NA	NA	NA	2	4.2	2	4	2	2
586	PH07.1	NA	NA	NA	1	NA	PH07	PullingshillWood	7D_rep1	NA	NA	NA	2	NA	NA	NA	1.2	2	4	2	NA
587	PH07.2	NA	NA	NA	2	NA	PH07	PullingshillWood	7D_rep2	NA	NA	NA	NA	2	NA	NA	2.2	2	NA	NA	NA
588	PH07.3	NA	NA	NA	3	NA	PH07	PullingshillWood	7D_rep3	NA	NA	NA	NA	NA	2	NA	3.2	2	4	2	NA
589	PH07.4	NA	NA	NA	4	NA	PH07	PullingshillWood	7D_rep4	NA	NA	NA	NA	NA	NA	2	4.2	2	4	2	NA
590	PH08.1	NA	NA	NA	1	NA	PH08	PullingshillWood	7D_rep1	NA	NA	NA	2	NA	NA	NA	1.2	2	4	2	2
591	PH08.2	NA	NA	NA	2	NA	PH08	PullingshillWood	7D_rep2	NA	NA	NA	NA	2	NA	NA	2.2	2	4	2	2
592	PH08.3	NA	NA	NA	3	NA	PH08	PullingshillWood	7D_rep3	NA	NA	NA	NA	NA	2	NA	3.2	2	4	2	2
593	PH08.4	NA	NA	NA	4	NA	PH08	PullingshillWood	7D_rep4	NA	NA	NA	NA	NA	NA	2	4.2	2	4	2	2
594	PH09.1	NA	NA	NA	1	NA	PH09	PullingshillWood	7D_rep1	NA	NA	NA	2	NA	NA	NA	1.2	2	4	2	2
595	PH09.2	NA	NA	NA	2	NA	PH09	PullingshillWood	7D_rep2	NA	NA	NA	NA	2	NA	NA	2.2	2	4	2	2
596	PH09.3	NA	NA	NA	3	NA	PH09	PullingshillWood	7D_rep3	NA	NA	NA	NA	NA	2	NA	3.2	2	4	2	2
597	PH09.4	NA	NA	NA	4	NA	PH09	PullingshillWood	7D_rep4	NA	NA	NA	NA	NA	NA	2	4.2	2	4	2	2
598	PH10.1	NA	NA	NA	1	NA	PH10	PullingshillWood	7D_rep1	NA	NA	NA	2	NA	NA	NA	1.2	2	4	2	2
599	PH10.2	NA	NA	NA	2	NA	PH10	PullingshillWood	7D_rep2	NA	NA	NA	NA	2	NA	NA	2.2	2	4	2	2
600	PH10.3	NA	NA	NA	3	NA	PH10	PullingshillWood	7D_rep3	NA	NA	NA	NA	NA	2	NA	3.2	2	4	2	2
601	PH10.4	NA	NA	NA	4	NA	PH10	PullingshillWood	7D_rep4	NA	NA	NA	NA	NA	NA	2	4.2	2	4	2	2
602	PH11.1	NA	NA	NA	1	NA	PH11	PullingshillWood	7D_rep1	NA	NA	NA	2	NA	NA	NA	1.2	2	4	2	2
603	PH11.2	NA	NA	NA	2	NA	PH11	PullingshillWood	7D_rep2	NA	NA	NA	NA	2	NA	NA	2.2	2	4	2	2
604	PH11.3	NA	NA	NA	3	NA	PH11	PullingshillWood	7D_rep3	NA	NA	NA	NA	NA	2	NA	3.2	2	4	2	2
605	PH11.4	NA	NA	NA	4	NA	PH11	PullingshillWood	7D_rep4	NA	NA	NA	NA	NA	NA	2	4.2	2	4	2	2
606	PH12.1	NA	NA	NA	1	NA	PH12	PullingshillWood	7D_rep1	NA	NA	NA	2	NA	NA	NA	1.2	2	4	2	2
607	PH12.2	NA	NA	NA	2	NA	PH12	PullingshillWood	7D_rep2	NA	NA	NA	NA	2	NA	NA	2.2	2	4	2	2
608	PH12.3	NA	NA	NA	3	NA	PH12	PullingshillWood	7D_rep3	NA	NA	NA	NA	NA	2	NA	3.2	2	4	2	2
609	PH12.4	NA	NA	NA	4	NA	PH12	PullingshillWood	7D_rep4	NA	NA	NA	NA	NA	NA	2	4.2	2	4	2	2
610	PH13.1	NA	NA	NA	1	NA	PH13	PullingshillWood	7D_rep1	NA	NA	NA	2	NA	NA	NA	1.2	2	4	2	2
611	PH13.2	NA	NA	NA	2	NA	PH13	PullingshillWood	7D_rep2	NA	NA	NA	NA	2	NA	NA	2.2	2	4	2	2
612	PH13.3	NA	NA	NA	3	NA	PH13	PullingshillWood	7D_rep3	NA	NA	NA	NA	NA	2	NA	3.2	2	4	2	2
613	PH13.4	NA	NA	NA	4	NA	PH13	PullingshillWood	7D_rep4	NA	NA	NA	NA	NA	NA	2	4.2	2	4	2	2
614	PH14.1	NA	NA	NA	1	NA	PH14	PullingshillWood	7D_rep1	NA	NA	NA	2	NA	NA	NA	1.2	2	4	2	2
615	PH14.2	NA	NA	NA	2	NA	PH14	PullingshillWood	7D_rep2	NA	NA	NA	NA	2	NA	NA	2.2	2	4	2	2
616	PH14.3	NA	NA	NA	3	NA	PH14	PullingshillWood	7D_rep3	NA	NA	NA	NA	NA	2	NA	3.2	2	4	2	2
617	PH14.4	NA	NA	NA	4	NA	PH14	PullingshillWood	7D_rep4	NA	NA	NA	NA	NA	NA	2	4.2	2	4	2	2
618	PH15.1	NA	NA	NA	1	NA	PH15	PullingshillWood	7D_rep1	NA	NA	NA	2	NA	NA	NA	1.2	2	4	2	2
619	PH15.2	NA	NA	NA	2	NA	PH15	PullingshillWood	7D_rep2	NA	NA	NA	NA	2	NA	NA	2.2	2	4	2	2
620	PH15.3	NA	NA	NA	3	NA	PH15	PullingshillWood	7D_rep3	NA	NA	NA	NA	NA	2	NA	3.2	2	4	2	2
621	PH15.4	NA	NA	NA	4	NA	PH15	PullingshillWood	7D_rep4	NA	NA	NA	NA	NA	NA	2	4.2	2	4	2	2
622	PH16.1	NA	NA	NA	1	NA	PH16	PullingshillWood	7D_rep1	NA	NA	NA	2	NA	NA	NA	1.2	2	4	2	NA
623	PH16.2	NA	NA	NA	2	NA	PH16	PullingshillWood	7D_rep2	NA	NA	NA	NA	2	NA	NA	2.2	2	4	2	NA
624	PH16.3	NA	NA	NA	3	NA	PH16	PullingshillWood	7D_rep3	NA	NA	NA	NA	NA	2	NA	3.2	2	4	2	NA
625	PH16.4	NA	NA	NA	4	NA	PH16	PullingshillWood	7D_rep4	NA	NA	NA	NA	NA	NA	2	4.2	2	4	2	NA
626	PH17.1	NA	NA	NA	1	NA	PH17	PullingshillWood	7D_rep1	NA	NA	NA	2	NA	NA	NA	1.2	2	4	2	2
627	PH17.2	NA	NA	NA	2	NA	PH17	PullingshillWood	7D_rep2	NA	NA	NA	NA	2	NA	NA	2.2	2	4	2	2
628	PH17.3	NA	NA	NA	3	NA	PH17	PullingshillWood	7D_rep3	NA	NA	NA	NA	NA	2	NA	3.2	2	4	2	2
629	PH17.4	NA	NA	NA	4	NA	PH17	PullingshillWood	7D_rep4	NA	NA	NA	NA	NA	NA	2	4.2	2	4	2	2
630	PH18.1	NA	NA	NA	1	NA	PH18	PullingshillWood	7D_rep1	NA	NA	NA	2	NA	NA	NA	1.2	2	4	2	2
631	PH18.2	NA	NA	NA	2	NA	PH18	PullingshillWood	7D_rep2	NA	NA	NA	NA	2	NA	NA	2.2	2	4	2	2
632	PH18.3	NA	NA	NA	3	NA	PH18	PullingshillWood	7D_rep3	NA	NA	NA	NA	NA	2	NA	3.2	2	4	2	2
633	PH18.4	NA	NA	NA	4	NA	PH18	PullingshillWood	7D_rep4	NA	NA	NA	NA	NA	NA	2	4.2	2	4	2	2
634	PH19.1	NA	NA	NA	1	NA	PH19	PullingshillWood	7D_rep1	NA	NA	NA	2	NA	NA	NA	1.2	2	4	2	2
635	PH19.2	NA	NA	NA	2	NA	PH19	PullingshillWood	7D_rep2	NA	NA	NA	NA	2	NA	NA	2.2	2	4	2	2
636	PH19.3	NA	NA	NA	3	NA	PH19	PullingshillWood	7D_rep3	NA	NA	NA	NA	NA	2	NA	3.2	2	4	2	2
637	PH19.4	NA	NA	NA	4	NA	PH19	PullingshillWood	7D_rep4	NA	NA	NA	NA	NA	NA	2	4.2	2	4	2	2
638	PH20.1	NA	NA	NA	1	NA	PH20	PullingshillWood	7D_rep1	NA	NA	NA	2	NA	NA	NA	1.2	2	4	2	2
639	PH20.2	NA	NA	NA	2	NA	PH20	PullingshillWood	7D_rep2	NA	NA	NA	NA	2	NA	NA	2.2	2	4	2	2
640	PH20.3	NA	NA	NA	3	NA	PH20	PullingshillWood	7D_rep3	NA	NA	NA	NA	NA	2	NA	3.2	2	4	2	2
641	PH20.4	NA	NA	NA	4	NA	PH20	PullingshillWood	7D_rep4	NA	NA	NA	NA	NA	NA	2	4.2	2	4	2	2
642	PH21.1	NA	NA	NA	1	NA	PH21	PullingshillWood	7D_rep1	NA	NA	NA	2	NA	NA	NA	1.2	2	4	2	2
643	PH21.2	NA	NA	NA	2	NA	PH21	PullingshillWood	7D_rep2	NA	NA	NA	NA	2	NA	NA	2.2	2	4	2	2
644	PH21.3	NA	NA	NA	3	NA	PH21	PullingshillWood	7D_rep3	NA	NA	NA	NA	NA	2	NA	3.2	2	4	2	2
645	PH21.4	NA	NA	NA	4	NA	PH21	PullingshillWood	7D_rep4	NA	NA	NA	NA	NA	NA	2	4.2	2	4	2	2
646	PH22.1	NA	NA	NA	1	NA	PH22	PullingshillWood	7D_rep1	NA	NA	NA	2	NA	NA	NA	1.2	2	4	2	2
647	PH22.2	NA	NA	NA	2	NA	PH22	PullingshillWood	7D_rep2	NA	NA	NA	NA	2	NA	NA	2.2	2	4	2	2
648	PH22.3	NA	NA	NA	3	NA	PH22	PullingshillWood	7D_rep3	NA	NA	NA	NA	NA	2	NA	3.2	2	4	2	2
649	PH22.4	NA	NA	NA	4	NA	PH22	PullingshillWood	7D_rep4	NA	NA	NA	NA	NA	NA	2	4.2	2	4	2	2
650	PH23.1	NA	NA	NA	1	NA	PH23	PullingshillWood	7D_rep1	NA	NA	NA	1	NA	NA	NA	1.1	1	1	2	NA
651	PH23.2	NA	NA	NA	2	NA	PH23	PullingshillWood	7D_rep2	NA	NA	NA	NA	2	NA	NA	2.2	2	4	2	NA
652	PH23.3	NA	NA	NA	3	NA	PH23	PullingshillWood	7D_rep3	NA	NA	NA	NA	NA	2	NA	3.2	2	4	2	NA
653	PH23.4	NA	NA	NA	4	NA	PH23	PullingshillWood	7D_rep4	NA	NA	NA	NA	NA	NA	2	4.2	2	4	2	NA
654	PH24.1	NA	NA	NA	1	NA	PH24	PullingshillWood	7D_rep1	NA	NA	NA	2	NA	NA	NA	1.2	2	4	2	2
655	PH24.2	NA	NA	NA	2	NA	PH24	PullingshillWood	7D_rep2	NA	NA	NA	NA	2	NA	NA	2.2	2	4	2	2
656	PH24.3	NA	NA	NA	3	NA	PH24	PullingshillWood	7D_rep3	NA	NA	NA	NA	NA	2	NA	3.2	2	3	2	2
657	PH24.4	NA	NA	NA	4	NA	PH24	PullingshillWood	7D_rep4	NA	NA	NA	NA	NA	NA	2	4.2	2	4	2	2
658	RDM01.1	NA	NA	NA	1	NA	RDM01	SilwoodPark	7D_rep1	NA	NA	NA	2	NA	NA	NA	1.2	2	4	2	2
659	RDM01.2	NA	NA	NA	2	NA	RDM01	SilwoodPark	7D_rep2	NA	NA	NA	NA	1	NA	NA	2.1	1	1	1	1
660	RDM01.3	NA	NA	NA	3	NA	RDM01	SilwoodPark	7D_rep3	NA	NA	NA	NA	NA	2	NA	3.2	2	1	2	2
661	RDM01.4	NA	NA	NA	4	NA	RDM01	SilwoodPark	7D_rep4	NA	NA	NA	NA	NA	NA	2	4.2	2	4	2	2
662	SAC01.1	NA	NA	NA	1	NA	SAC01	StAlbansCity	7D_rep1	NA	NA	NA	2	NA	NA	NA	1.2	2	3	2	NA
663	SAC01.2	NA	NA	NA	2	NA	SAC01	StAlbansCity	7D_rep2	NA	NA	NA	NA	2	NA	NA	2.2	2	3	2	NA
664	SAC01.3	NA	NA	NA	3	NA	SAC01	StAlbansCity	7D_rep3	NA	NA	NA	NA	NA	2	NA	3.2	2	3	2	NA
665	SAC01.4	NA	NA	NA	4	NA	SAC01	StAlbansCity	7D_rep4	NA	NA	NA	NA	NA	NA	1	4.1	1	1	1	NA
666	SAC02.1	NA	NA	NA	1	NA	SAC02	StAlbansCity	7D_rep1	NA	NA	NA	2	NA	NA	NA	1.2	2	4	2	2
667	SAC02.2	NA	NA	NA	2	NA	SAC02	StAlbansCity	7D_rep2	NA	NA	NA	NA	2	NA	NA	2.2	2	4	2	2
668	SAC02.3	NA	NA	NA	3	NA	SAC02	StAlbansCity	7D_rep3	NA	NA	NA	NA	NA	2	NA	3.2	2	4	2	2
669	SAC02.4	NA	NA	NA	4	NA	SAC02	StAlbansCity	7D_rep4	NA	NA	NA	NA	NA	NA	1	4.1	1	1	1	1
670	SAC03.1	NA	NA	NA	1	NA	SAC03	StAlbansCity	7D_rep1	NA	NA	NA	2	NA	NA	NA	1.2	2	4	2	2
671	SAC03.2	NA	NA	NA	2	NA	SAC03	StAlbansCity	7D_rep2	NA	NA	NA	NA	2	NA	NA	2.2	2	4	2	2
672	SAC03.3	NA	NA	NA	3	NA	SAC03	StAlbansCity	7D_rep3	NA	NA	NA	NA	NA	2	NA	3.2	2	4	2	2
673	SAC03.4	NA	NA	NA	4	NA	SAC03	StAlbansCity	7D_rep4	NA	NA	NA	NA	NA	NA	1	4.1	1	2	1	1
674	SAC04.1	NA	NA	NA	1	NA	SAC04	StAlbansCity	7D_rep1	NA	NA	NA	2	NA	NA	NA	1.2	2	4	2	2
675	SAC04.2	NA	NA	NA	2	NA	SAC04	StAlbansCity	7D_rep2	NA	NA	NA	NA	2	NA	NA	2.2	2	4	2	2
676	SAC04.3	NA	NA	NA	3	NA	SAC04	StAlbansCity	7D_rep3	NA	NA	NA	NA	NA	2	NA	3.2	2	4	2	2
677	SAC04.4	NA	NA	NA	4	NA	SAC04	StAlbansCity	7D_rep4	NA	NA	NA	NA	NA	NA	1	4.1	1	1	1	1
678	SAC05.1	NA	NA	NA	1	NA	SAC05	StAlbansCity	7D_rep1	NA	NA	NA	2	NA	NA	NA	1.2	2	4	2	2
679	SAC05.2	NA	NA	NA	2	NA	SAC05	StAlbansCity	7D_rep2	NA	NA	NA	NA	2	NA	NA	2.2	2	4	2	2
680	SAC05.3	NA	NA	NA	3	NA	SAC05	StAlbansCity	7D_rep3	NA	NA	NA	NA	NA	2	NA	3.2	2	4	2	2
681	SAC05.4	NA	NA	NA	4	NA	SAC05	StAlbansCity	7D_rep4	NA	NA	NA	NA	NA	NA	1	4.1	1	1	2	1
682	SAC06.1	NA	NA	NA	1	NA	SAC06	StAlbansCity	7D_rep1	NA	NA	NA	2	NA	NA	NA	1.2	2	4	2	2
683	SAC06.2	NA	NA	NA	2	NA	SAC06	StAlbansCity	7D_rep2	NA	NA	NA	NA	2	NA	NA	2.2	2	3	2	2
684	SAC06.3	NA	NA	NA	3	NA	SAC06	StAlbansCity	7D_rep3	NA	NA	NA	NA	NA	2	NA	3.2	2	3	1	2
685	SAC06.4	NA	NA	NA	4	NA	SAC06	StAlbansCity	7D_rep4	NA	NA	NA	NA	NA	NA	1	4.1	1	1	1	1
686	SAC07.1	NA	NA	NA	1	NA	SAC07	StAlbansCity	7D_rep1	NA	NA	NA	2	NA	NA	NA	1.2	2	4	2	2
687	SAC07.2	NA	NA	NA	2	NA	SAC07	StAlbansCity	7D_rep2	NA	NA	NA	NA	2	NA	NA	2.2	2	3	2	2
