sampleid	Name.2	Community	Species	replicate	BreakingBag	parent	Location	Experiment	Part_Time0D_17	Part_Time0D_6	Part_Time4M_64	Part_Time7D_rep1_2	Part_Time7D_rep2_2	Part_Time7D_rep3_2	Part_Time7D_rep4_2	replicate.partition	partition	Time0D_7D_4M	Time0D_7D	Time0D_7D_matched
61	H5.CTRL.SP04.2.Com	CTRLRep2Com5	5	CTRL	0	no	SP04	SilwoodPark	4M	NA	NA	43	NA	NA	NA	NA	0.43	43	1	NA	NA
62	H6.CTRL.WYC41.2.Com	CTRLRep2Com6	6	CTRL	0	no	WYC41	WythamWoods	4M	NA	NA	44	NA	NA	NA	NA	0.44	44	1	NA	NA
63	H7.CTRL.WYC42.2.Com	CTRLRep2Com7	7	CTRL	0	no	WYC42	WythamWoods	4M	NA	NA	45	NA	NA	NA	NA	0.45	45	2	NA	NA
64	H8.CTRL.WYM25.2.Com	CTRLRep2Com8	8	CTRL	0	no	WYM25	WythamWoods	4M	NA	NA	46	NA	NA	NA	NA	0.46	46	2	NA	NA
65	A9.Riz1.BB66.1.Com	NA	9	Rhizobium.1	0	Yes	BB66	BurhamBeeches	4M	NA	NA	47	NA	NA	NA	NA	0.47	47	1	NA	NA
66	A10.Mix.AE103.1.Bag	NA	1	StrainMix	0	Yes	AE103	AshridgeEstate	4M	NA	NA	47	NA	NA	NA	NA	0.47	47	1	NA	NA
67	A11.Mix.SP04.1.Bag	NA	5	StrainMix	0	Yes	SP04	SilwoodPark	4M	NA	NA	6	NA	NA	NA	NA	0.6	6	1	NA	NA
68	A12.Mix.BB66.1.Bag	NA	9	StrainMix	0	Yes	BB66	BurhamBeeches	4M	NA	NA	6	NA	NA	NA	NA	0.6	6	1	NA	NA
69	B9.Riz1.BB66.2.Com	NA	9	Rhizobium.1	0	Yes	BB66	BurhamBeeches	4M	NA	NA	48	NA	NA	NA	NA	0.48	48	1	NA	NA
70	B10.Mix.AE103.2.Bag	NA	1	StrainMix	0	Yes	AE103	AshridgeEstate	4M	NA	NA	7	NA	NA	NA	NA	0.7	7	1	NA	NA
71	B11.Mix.SP04.2.Bag	NA	5	StrainMix	0	Yes	SP04	SilwoodPark	4M	NA	NA	7	NA	NA	NA	NA	0.7	7	1	NA	NA
72	B12.Mix.BB66.2.Bag	NA	9	StrainMix	0	Yes	BB66	BurhamBeeches	4M	NA	NA	7	NA	NA	NA	NA	0.7	7	1	NA	NA
73	C9.Nov2.BB66.1.Com	NA	9	Novosphingobium.2	0	Yes	BB66	BurhamBeeches	4M	NA	NA	49	NA	NA	NA	NA	0.49	49	1	NA	NA
74	C10.Mix.BB22.1.Bag	NA	9	StrainMix	0	Yes	BB22	BurhamBeeches	4M	NA	NA	49	NA	NA	NA	NA	0.49	49	1	NA	NA
75	C11.Mix.WYC41.1.Bag	NA	6	StrainMix	0	Yes	WYC41	WythamWoods	4M	NA	NA	50	NA	NA	NA	NA	0.5	50	1	NA	NA
76	C12.AE103.02.Iso	NA	1	Isolate	0	Yes	AE103	AshridgeEstate	4M	NA	NA	51	NA	NA	NA	NA	0.51	51	1	NA	NA
77	D9.Nov2.BB66.2.Com	NA	9	Novosphingobium.2	0	Yes	BB66	BurhamBeeches	4M	NA	NA	52	NA	NA	NA	NA	0.52	52	1	NA	NA
78	D10.Mix.BB22.2.Bag	NA	2	StrainMix	0	Yes	BB22	BurhamBeeches	4M	NA	NA	53	NA	NA	NA	NA	0.53	53	1	NA	NA
79	D11.Mix.WYC41.2.Bag	NA	6	StrainMix	0	Yes	WYC41	WythamWoods	4M	NA	NA	54	NA	NA	NA	NA	0.54	54	1	NA	NA
80	D12.BB22.01.Iso	NA	2	Isolate	0	Yes	BB22	BurhamBeeches	4M	NA	NA	55	NA	NA	NA	NA	0.55	55	1	NA	NA
81	E9.IsoMix.BB66.1.Com	NA	9	Community	0	Yes	BB66	BurhamBeeches	4M	NA	NA	29	NA	NA	NA	NA	0.29	29	1	NA	NA
82	E10.Mix.SP02.1.Bag	NA	3	StrainMix	0	Yes	SP02	SilwoodPark	4M	NA	NA	28	NA	NA	NA	NA	0.28	28	1	NA	NA
83	E11.Mix.WYC42.1.Bag	NA	7	StrainMix	0	Yes	WYC42	WythamWoods	4M	NA	NA	56	NA	NA	NA	NA	0.56	56	1	NA	NA
84	E12.MQ.CTRL.1.NA	NA	NA	Water	0	Yes	CTRL	NA	4M	NA	NA	28	NA	NA	NA	NA	0.28	28	1	NA	NA
85	F9.NIsoMix.BB66.2.Com	NA	9	Community	0	Yes	BB66	BurhamBeeches	4M	NA	NA	57	NA	NA	NA	NA	0.57	57	1	NA	NA
86	F10.Mix.SP02.2.Bag	NA	2	StrainMix	0	Yes	SP02	SilwoodPark	4M	NA	NA	58	NA	NA	NA	NA	0.58	58	1	NA	NA
87	F11.Mix.WYC42.2.Bag	NA	7	StrainMix	0	Yes	WYC42	WythamWoods	4M	NA	NA	58	NA	NA	NA	NA	0.58	58	1	NA	NA
88	F12.MQ.CTRL.2.NA	NA	NS	Water	0	Yes	CTRL	NA	4M	NA	NA	58	NA	NA	NA	NA	0.58	58	1	NA	NA
89	G9.CTRL.BB66.1.Com	NA	9	Water	0	Yes	BB66	BurhamBeeches	4M	NA	NA	59	NA	NA	NA	NA	0.59	59	1	NA	NA
90	G10.Mix.SP03.1.Bag	NA	4	Community	0	Yes	SP03	SilwoodPark	4M	NA	NA	60	NA	NA	NA	NA	0.6	60	1	NA	NA
91	G11.Mix.WYM25.1.Bag	NA	8	StrainMix	0	Yes	WYM25	WythamWoods	4M	NA	NA	39	NA	NA	NA	NA	0.39	39	1	NA	NA
92	G12.PCR.CTRL.1.NA	NA	NA	Water	0	Yes	CTRL	NA	4M	NA	NA	59	NA	NA	NA	NA	0.59	59	1	NA	NA
93	H9.CTRL.BB66.2.Com	NA	9	Community	0	Yes	BB66	BurhamBeeches	4M	NA	NA	61	NA	NA	NA	NA	0.61	61	2	NA	NA
94	H10.Mix.SP03.2.Bag	NA	4	StrainMix	0	Yes	SP03	SilwoodPark	4M	NA	NA	62	NA	NA	NA	NA	0.62	62	1	NA	NA
95	H11.Mix.WYM25.2.Bag	NA	8	StrainMix	0	Yes	WYM25	WythamWoods	4M	NA	NA	63	NA	NA	NA	NA	0.63	63	1	NA	NA
96	H12.PCR.CTRL.2.NA	NA	NA	Water	0	Yes	CTRL	NA	4M	NA	NA	64	NA	NA	NA	NA	0.64	64	1	NA	NA
97	AE05.1	NA	NA	NA	1	NA	AE05	AshridgeEstate	7D_rep1	NA	NA	NA	1	NA	NA	NA	1.1	1	2	1	1
98	AE05.2	NA	NA	NA	2	NA	AE05	AshridgeEstate	7D_rep2	NA	NA	NA	NA	1	NA	NA	2.1	1	2	1	1
99	AE05.3	NA	NA	NA	3	NA	AE05	AshridgeEstate	7D_rep3	NA	NA	NA	NA	NA	1	NA	3.1	1	2	1	1
100	AE05.4	NA	NA	NA	4	NA	AE05	AshridgeEstate	7D_rep4	NA	NA	NA	NA	NA	NA	1	4.1	1	2	1	1
101	AE100.1	NA	NA	NA	1	NA	AE100	AshridgeEstate	7D_rep1	NA	NA	NA	1	NA	NA	NA	1.1	1	3	1	NA
102	AE100.2	NA	NA	NA	2	NA	AE100	AshridgeEstate	7D_rep2	NA	NA	NA	NA	1	NA	NA	2.1	1	3	1	NA
103	AE100.3	NA	NA	NA	3	NA	AE100	AshridgeEstate	7D_rep3	NA	NA	NA	NA	NA	1	NA	3.1	1	3	1	NA
104	AE100.4	NA	NA	NA	4	NA	AE100	AshridgeEstate	7D_rep4	NA	NA	NA	NA	NA	NA	1	4.1	1	2	1	NA
105	AE101.1	NA	NA	NA	1	NA	AE101	AshridgeEstate	7D_rep1	NA	NA	NA	1	NA	NA	NA	1.1	1	2	1	1
106	AE101.2	NA	NA	NA	2	NA	AE101	AshridgeEstate	7D_rep2	NA	NA	NA	NA	1	NA	NA	2.1	1	2	1	1
107	AE101.3	NA	NA	NA	3	NA	AE101	AshridgeEstate	7D_rep3	NA	NA	NA	NA	NA	1	NA	3.1	1	2	1	1
